Product,Manufacturer,Status,Indication
Qulipta(atogepant),AbbVie Corporation,Concluded with an LOI,Episodic migraine in adults (prevention)
Sohonos(palovarotene),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded with an LOI,Fibrodysplasia Ossificans Progressiva
Rinvoq(upadacitinib),AbbVie Corporation,Concluded with an LOI,Ankylosing spondylitis
Koselugo(selumetinib),Alexion Pharma GmbH,Concluded with an LOI,"Neurofibromatosis type 1 in pediatric patients aged 2 years and above, who have symptomatic, inoperable plexiform neurofibromas"
Rukobia(fostemsavir),ViiV Healthcare,Concluded without agreement,"HIV-1 infection, in combination with other antiretroviral agents, in heavily treatment-experienced adults with multidrug-resistant HIV-1 infection for whom it is otherwise not possible to construct a suppressive anti-viral regimen due to resistance, intolerance or safety considerations"
Skyrizi(risankizumab),AbbVie Corporation,Concluded with an LOI,Moderately to severely active Crohn's disease in adults
Carvykti(ciltacabtagene autoleucel),Janssen Inc.,Active Negotiation,"Multiple myeloma (MM) in adult patients who have received at least three prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent, and an anti-CD38 antibody, and who are refractory to their last treatment."
Jamteki(ustekinumab),Jamp Pharma Corporation,Concluded with an LOI,Multiple Indications
Rylaze(crisantaspase recombinant),Jazz Pharmaceuticals Canada Inc.,Concluded with an LOI,Acute lymphoblastic leukemia (ALL) and lymphoblastic lymphoma (LBL) in adult and pediatric patients 1 year or older who have developed hypersensitivity to E. coli-derived asparaginase.
Lapelga(pegfilgrastim),"Apobiologix, a Division of Apotex Inc.",Concluded with an LOI,"To decrease the incidence of infection, as manifested by febrile neutropenia, in patients with non-myeloid malignancies receiving myelosuppressive antineoplastic drug."
Trurapi(insulin aspart),Sanofi-Aventis Canada Inc.,Concluded with an LOI,"Diabetes mellitus in patients who require insulin for the control of hyperglycemia (normally to be used in regimens together with an intermediate or long-acting insulin), or continuous subcutaneous insulin infusion (CSII) in pump systems which are licensed in Canada for Trurapi insulin infusion"
Camzyos(mavacamten),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Symptomatic obstructive hypertrophic cardiomyopathy (oHCM) of New York Heart Association (NYHA) Class II-III in adult patients.
Tecartus(brexucabtagene autoleucel),Gilead Sciences Canada Inc.,Concluded with an LOI,"Acute lymphoblastic leukemia (ALL), B-cell precursor, in adult patients, relapsed or refractory"
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Resectable Non-small cell lung cancer (tumours ≥4cm or node positive), neoadjuvant treatment of adult patients, when used in combination with platinum-doublet chemotherapy"
Empaveli(pegcetacoplan),Sobi Canada Inc.,Concluded with an LOI,"Paroxysmal nocturnal hemoglobinuria (PNH) in adult patients who have an inadequate response to, or are intolerant of, a C5 inhibitor"
Ranopto(ranibizumab),Teva Canada Ltd.,Concluded with an LOI,"Neovascular (wet) age-related macular degeneration (AMD), or visual impairment due to diabetic macular edema (DME), macular edema secondary to retinal vein occlusion (RVO), choroidal neovascularisation (CNV) secondary to pathologic myopia (PM), choroidal neovascularisation (CNV) secondary to ocular conditions other than AMD or PM, including but not limited to angioid streaks, post-inflammatory retinochoroidopathy, central serous chorioretinopathy or idiopathic chorioretinopathy"
Kerendia(finerenone),Bayer Inc.,Concluded with an LOI,Adjunct to standard of care therapy for chronic kidney disease and type 2 diabetes
Lynparza(olaparib),AstraZeneca Canada Inc.,Concluded with an LOI,"Deleterious or suspected deleterious germline BRCA-mutated (gBRCAm), human epidermal growth factor receptor 2 (HER2)-negative high risk early breast cancer,  for adjuvant treatment of adult patients who have been treated with neoadjuvant or adjuvant chemotherapy"
Pluvicto(lutetium vipivotide tetraxetan),Advanced Accelerator Applications,Concluded with an LOI,Prostate-specific membrane antigen (PSMA)-positive metastatic castration-resistant prostate cancer (mCRPC) in adult patients who have received at least one androgen receptor pathway inhibitor (ARPI) and taxane-based chemotherapy.
Rybrevant(amivantamab),Janssen Inc.,Concluded without agreement,"Non-small cell lung cancer (NSCLC), Locally advanced or metastatic, in adult patients with activating epidermal-growth factor receptor (EGFR) Exon 20 insertion mutations whose disease has progressed on, or after platinum-based chemotherapy"
Ultomiris(ravulizumab),Alexion Pharma GmbH,Concluded with an LOI,Atypical hemolytic uremic syndrome
Lorbrena(lorlatinib),Pfizer Canada ULC,Concluded with an LOI,"Non-small cell lung cancer (NSCLC), anaplastic lymphoma kinase (ALK)-positive, locally advanced (not amenable to curative therapy) or metastatic, monotherapy for first-line treatment of adult patients"
Orladeyo(berotralstat),BioCryst Pharmaceuticals Inc.,Concluded with an LOI,Hereditary Angioedema
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) endometrial cancer in adult patients, whose tumours have progressed following prior therapy and who have no satisfactory alternative treatment options, as monotherapy."
Imfinzi(durvalumab),AstraZeneca Canada Inc.,Concluded with an LOI,Locally advanced or metastatic biliary tract cancer (BTC) in combination with gemcitabine-based chemotherapy
Yescarta(axicabtagene ciloleucel),Gilead Sciences Canada Inc.,Concluded with an LOI,"Diffuse large B-cell lymphoma (DLBCL) or high-grade B-cell lymphoma (HGBL), in adult patients, that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy"
Oxlumo(lumasiran),Alnylam Netherlands B.V.,Concluded with an LOI,Primary Hyperoxaluria Type 1
Dupixent(dupilumab),Sanofi-Aventis Canada Inc.,Concluded with an LOI,Asthma
Dupixent(dupilumab),Sanofi-Aventis Canada Inc.,Concluded with an LOI,Atopic dermatitis
Saphnelo(anifrolumab),AstraZeneca Canada Inc.,Concluded with an LOI,Systemic lupus erythematosus
Benlysta(belimumab),GlaxoSmithKline Inc.,Concluded with an LOI,Active lupus nephritis
Ferriprox(deferiprone),Chiesi Canada Corporation,Concluded without agreement,Transfusional iron overload due to sickle cell disease or other anemias
Ozurdex(dexamethasone),AbbVie Corporation,Negotiations were not pursued,Diabetic Macular Edema
Beovu(brolucizumab),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Diabetic Macular Edema
Nubeqa(Darolutamide),Bayer Inc.,Concluded with an LOI,Metastatic castration sensitive prostate cancer (mCSPC) in combination with docetaxel
Dayvigo(lemborexant),Eisai Limited,Concluded without agreement,Insomnia
Blood glucose test strips(blood glucose test strips),Tykess Pharmaceuticals Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips( blood glucose test strips),Dex Medical Distribution Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),"Roche Diabetes Care, division of Hoffmann-La Roche Ltd.",Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),Bionime USA Corporation,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Triple-negative breast cancer (TNBC), locally recurrent unresectable or metastatic, in adult patients who have not received prior chemotherapy for metastatic disease and whose tumors express PD‐L1 (CPS ≥ 10) as determined by a validated test (in combination with chemotherapy)"
Kimmtrak(tebentafusp),Medison Pharma Canada Inc.,Concluded with an LOI,Unresectable or metastatic uveal melanoma in adult patients who are Human leukocyte antigen (HLA)-A*02:01-positive
Dificid(fidaxomicin),Merck Canada Inc.,Concluded with an LOI,Clostridium difficile infection
Ruzurgi(Amifampridine),Médunik Canada Inc.,Concluded with an LOI,Lambert-Eaton Myasthenic Syndrome (LEMS)
Radicava(edaravone),"Mitsubishi Tanabe Pharma Canada, Inc.",Concluded with an LOI,Amyotrophic Lateral Sclerosis (ALS)
Vyepti(eptinezumab),Lundbeck Canada Inc.,Concluded with an LOI,"Migraine, prevention"
Uceris(budesonide),"Bausch Health, Canada Inc.",Concluded with an LOI,Active mild to moderate distal ulcerative colitis
Zepzelca(lurbinectedin),Jazz Pharmaceuticals Canada Inc.,Negotiations were not pursued,Stage III or metastatic small cell lung cancer (SCLC) in adult patients who have progressed on or after platinum-containing therapy
Wakix(pitolisant hydrochloride),Paladin Labs Inc.,Concluded without agreement,Excessive daytime sleepiness or cataplexy in adult patients with narcolepsy
Blood glucose test strips(blood glucose test strips),Tremblay Harrison Inc.,Concluded without agreement,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),Sanofi-Aventis Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),Nova Biomedical Canada Ltd.,Concluded without agreement,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),Auto Control Medical Inc,Concluded without agreement,"Diabetes Mellitus, Type 1 & 2"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Persistent, recurrent, or metastatic cervical cancer whose tumours express PD‐L1 (CPS ≥ 1) as determined by a validated test, in combination with chemotherapy with or without bevacizumab, in adult patients"
Zeposia(ozanimod),Celgene Inc.,Concluded with an LOI,Ulcerative Colitis
Tremfya(guselkumab),Janssen Inc.,Concluded with an LOI,Psoriatic Arthritis
Nucala(mepolizumab),GlaxoSmithKline Inc.,Concluded with an LOI,Severe chronic rhinosinusitis with nasal polyps
Tezspire(tezepelumab),AstraZeneca Canada Inc.,Concluded with an LOI,"Severe asthma, add-on maintenance treatment in adults and adolescents 12 years and older"
Xydalba(dalbavancin),Paladin Labs Inc.,Concluded with an LOI,Acute bacterial skin and skin structure infections
Rymti(etanercept),Lupin Pharma Canada Ltd.,Concluded with an LOI,"Ankylosing Spondylitis, Plaque Psoriasis, Psoriatic Arthritis, Rheumatoid Arthritis and Polyarticular Juvenile Idiopathic Arthritis"
Vraylar(cariprazine),AbbVie Corporation,Negotiations were not pursued,Bipolar Disorder
Palynziq(pegvaliase),BioMarin Pharmaceutical Inc.,Concluded without agreement,Phenylketonuria
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Stage IIB or IIC melanoma following complete resection, for adjuvant treatment of adult and pediatric (12 years and older) patients"
Livtencity(maribavir),Takeda Canada Inc.,Concluded with an LOI,Post-transplant Cytomegalovirus (CMV) Infection/disease
Rozlytrek(Entrectinib),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Unresectable locally advanced or metastatic extracranial solid tumours, including brain metastases, in adult patients, that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion without a known acquired resistance mutation, and with no satisfactory treatment options"
Cabometyx(cabozantinib),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded with an LOI,"Differentiated thyroid carcinoma (DTC), locally advanced or metastatic, in adult patients who are radioactive iodine-refractory (RAI-R) or ineligible, that has progressed following prior vascular endothelial growth factor receptor (VEGFR)-targeted therapy"
Jardiance(empagliflozin),Boehringer Ingelheim (Canada) Ltd.,Active Negotiation,Adjunct to standard of care therapy for the treatment of chronic heart failure in adults
Vabysmo(faricimab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Diabetic Macular Edema
Minjuvi(tafasitamab),Incyte Biosciences Canada Corporation,Concluded with an LOI,"Diffuse large B-cell lymphoma not otherwise specified (DLBCL NOS), relapsed or refractory, including DLBCL arising from low grade lymphoma, in adult patients who are not eligible for autologous stem cell transplant (in combination with lenalidomide)"
Retevmo(selpercatinib),Eli Lilly Canada Inc.,Concluded with an LOI,"Medullary thyroid cancer (MTC), rearranged during transfection (RET)-mutant, in adult and pediatric patients 12 years of age and older with unresectable advanced or metastatic disease"
Enhertu(trastuzumab deruxtecan),AstraZeneca Canada Inc.,Concluded with an LOI,Unresectable or metastatic human epidermal growth factor receptor 2 (HER2)-positive breast cancer in adult patients who have received a prior treatment with an anti-HER2-based regimen in the metastatic setting or developed disease recurrence during or within 6 months of completing neoadjuvant or adjuvant therapy
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Urothelial carcinoma (UC), monotherapy for the adjuvant treatment of adult patients who are at high risk of recurrence after undergoing radical resection of UC"
Verzenio(abemaciclib),Eli Lilly Canada Inc.,Concluded with an LOI,"Early breast cancer, hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, node-positive, at high risk of disease recurrence based on clinicopathological features and a Ki-67 score ≥20%,for the adjuvant treatment of adult patients (in combination with endocrine therapy)"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Renal cell carcinoma (RCC), for adjuvant treatment of adult patients, at intermediate-high or high risk of recurrence following nephrectomy, or following nephrectomy and resection of metastatic lesions"
Gavreto(pralsetinib),Hoffmann-La Roche Ltd.,Concluded without agreement,"Locally advanced unresectable or metastatic non-small cell lung cancer (NSCLC), rearranged during transfection (RET) fusion-positive, in adult patients"
Lutathera(lutetium 177 dotatate),Advanced Accelerator Applications,Concluded with an LOI,"Unresectable or metastatic, well-differentiated, somatostatin receptor (SSR)–positive pancreatic neuroendocrine tumours (pNETs) in adults whose disease has progressed after treatment with a somatostatin analogue (SSA), unless there is a contraindication or intolerance"
Wegovy(semaglutide),Novo Nordisk Canada Inc.,Negotiations were not pursued,Chronic weight management
Jakavi(ruxolintib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Acute Graft-Versus-Host disease
Lenvima(lenvatinib),Eisai Limited,Concluded with an LOI,"Advanced endometrial carcinoma that is not microsatellite instability high (MSI-H) or mismatch repair deficient (dMMR), in adult patients who have disease progression following prior platinum-based systemic therapy, and are not candidates for curative surgery or radiation (in combination with pembrolizumab)"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Advanced endometrial carcinoma that is not microsatellite instability high (MSI-H) or mismatch repair deficient (dMMR), in adult patients who have disease progression following prior platinum-based systemic therapy, and are not candidates for curative surgery or radiation. (in combination with Lenvatinib (Lenvima))"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"High-risk early-stage triple-negative breast cancer (TNBC) in combination with chemotherapy as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment after surgery, in adult patients"
Byooviz(ranibizumab),Biogen Canada Inc.,Concluded with an LOI,"Neovascular (wet) age-related macular degeneration (AMD), or visual impairment due to diabetic macular edema (DME), macular edema secondary to retinal vein occlusion (RVO), choroidal neovascularisation (CNV) secondary to pathologic myopia (PM), choroidal neovascularisation (CNV) secondary to ocular conditions other than AMD or PM, including but not limited to angioid streaks, post-inflammatory retinochoroidopathy, central serous chorioretinopathy or idiopathic chorioretinopathy"
Spinraza(nusinersen),Biogen Canada Inc.,Negotiations were not pursued,Spinal Muscular Atrophy in adult patients over 18 years of age
Tecentriq(atezolizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Non-small cell lung cancer (NSCLC) in adult patients whose tumours have PD-L1 expression on ≥ 50% of tumour cells (TCs) and do not have EGFR or ALK genomic tumour aberrations, monotherapy for adjuvant treatment following resection and platinum-based chemotherapy, Stage II to IIIA (per the American Joint Committee on Cancer [AJCC], 7th edition)"
Tepmetko(tepotinib),"EMD Serono Canada, a division of EMD Inc.",Concluded with an LOI,"Non-small cell lung cancer (NSCLC), locally advanced unresectable metastatic, harbouring mesenchymal-epithelial transition (MET) tyrosine kinase receptor exon 14 skipping alterations, in adult patients"
Jemperli(dostarlimab),GlaxoSmithKline Inc.,Negotiations were not pursued,"Mismatch repair deficient (dMMR) or microsatellite instability-high (MSI-H) recurrent or advanced endometrial cancer (EC) that has progressed on or following prior treatment with a platinum containing regimen, in adult patients"
Cibinqo(abrocitinib),Pfizer Canada ULC,Concluded with an LOI,"Atopic Dermatitis, Moderate to Severe"
Poteligeo(mogamulizumab),"Kyowa Kirin Canada, Inc.",Concluded with an LOI,"Mycosis Fungoides (MF), Sézary Syndrome (SS)"
Vabysmo(faricimab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Neovascular (Wet) Age-related Macular Degeneration (nAMD)
Vraylar(cariprazine),AbbVie Corporation,Concluded with an LOI,Schizophrenia in Adults
Kirsty(insulin aspart),"BGP Pharma ULC, d.b.a. Viatris Canada",Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Brukinsa(zanubrutinib),"BeiGene, Ltd.",Negotiations were not pursued,Mantle cell lymphoma (MCL) in adult patients who have received at least one prior therapy.
Xpovio(selinexor),Forus Therapeutics Inc.,Concluded with an LOI,Multiple myeloma (MM) in adults with who have received at least one prior therapy (In combination with bortezomib (V) and dexamethasone (d))
Scemblix(asciminib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,"Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP) previously treated with two or more tyrosine kinase inhibitors, in adult patients"
Vegzelma(bevacizumab),Celltrion Healthcare Canada Ltd.,Concluded with an LOI,"Metastatic Colorectal Cancer (mCRC); Locally Advanced, Metastatic or Recurrent Non-Small Cell Lung Cancer (NSCLC); Platinum-Sensitive Recurrent Epithelial Ovarian, Fallopian Tube and Primary Peritoneal Cancer; Platinum-Resistant Recurrent Epithelial Ovarian, Fallopian Tube and Primary Peritoneal Cancer; and Malignant Glioma (WHO Grade IV) - Glioblastoma"
Inqovi(decitabine-cedazuridine),Taiho Pharma Canada Inc.,Concluded with an LOI,"Myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS with the following French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, and chronic myelomonocytic leukemia [CMML]) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System (IPSS) groups, in adult patients"
Jakavi(ruxolintib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Chronic Graft-versus-host Disease
Albrioza(sodium phenylbutyrate and ursodoxicoltaurine),Amylyx Canada,Concluded with an LOI,Amyotrophic Lateral Sclerosis (ALS)
Breyanzi(lisocabtagene maraleucel),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Adult patients with relapsed or refractory (R/R) large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma (PMBCL), high grade B-cell lymphoma, and DLBCL arising from follicular lymphoma"
Nexviazyme(avalglucosidase alfa),Sanofi-Aventis Canada Inc.,Concluded without agreement,Late-Onset Pompe Disease
Retevmo(selpercatinib),Eli Lilly Canada Inc.,Concluded with an LOI,"Differentiated thyroid carcinoma (DTC), Rearranged during transfection (RET) fusion-positive, in adult patients with advanced or metastatic disease (not amenable to surgery or radioactive iodine therapy) monotherapy treatment following prior treatment with sorafenib and/or lenvatinib"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Advanced or metastatic renal cell carcinoma (RCC) in adult patients with no prior systemic therapy for metastatic RCC (in combination with Lenvima)
Lenvima(lenvatinib),Eisai Limited,Concluded with an LOI,"Advanced or metastatic renal cell carcinoma (RCC) with no prior systemic therapy for metastatic renal cell carcinoma (RCC), in adult patients (In combination with pembrolizumab)"
Vyndaqel(tafamidis),Pfizer Canada ULC,Concluded with an LOI,Cardiomyopathy due to transthyretin-mediated amyloidosis
Firdapse(amifampridine phosphate),KYE Pharmaceuticals Inc.,Concluded with an LOI,Lambert-Eaton Myasthenic Syndrome (LEMS)
pdp-Amlodipine(amlodipine),"Pendopharm, a division of Pharmascience Inc.",Concluded with an LOI,Mild to moderate essential hypertension and management of chronic stable angina
Arazlo(tazarotene),"Bausch Health, Canada Inc.",Concluded with an LOI,Acne Vulgaris
Bryhali(halobetasol propionate),"Bausch Health, Canada Inc.",Concluded with an LOI,Corticosteroid-Responsive Dermatoses and The Topical Treatment of Plaque Psoriasis
Rinvoq(upadacitinib),AbbVie Corporation,Concluded with an LOI,Atopic dermatitis
Elonox and Elonox HP(enoxaparin sodium),Fresenius Kabi Canada Ltd.,Concluded with an LOI,Thrombosis and cardiovascular conditions (prevention or treatment)
Trikafta(elexacaftor/tezacaftor/ivacaftor and ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Concluded with an LOI,"Cystic Fibrosis, F508del CFTR mutation in patients aged 6 years and older"
Libtayo(cemiplimab),Sanofi-Aventis Canada Inc.,Concluded without agreement,"Non-small cell lung cancer (NSCLC) expressing PD-L1 in ≥ 50% of tumour cells (Tumour Proportion Score [TPS] ≥ 50%), as determined by a validated test, with no EGFR, ALK or ROS1 aberrations, first-line treatment of adult patients who have locally advanced NSCLC who are not candidates for surgical resection or definitive chemoradiation, or metastatic NSCLC"
Osphena(ospemifene),Duchesnay Inc.,Concluded without agreement,Dyspareunia and/or Vaginal Dryness
Nypozi(filgrastim),"Tanvex BioPharma USA, Inc.",Concluded with an LOI,Neutropenia in various indications (Prevention or treatment)
Semglee(Insulin Glargine),"BGP Pharma ULC, d.b.a. Viatris Canada",Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),"ForaCare Technology Canada, Inc.",Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),Skymed Monitors Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),MediSure Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),LifeScan Canada ULC,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),"I-Sens, Inc.",Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),BTNX Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),Ascensia Diabetes Care,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),Spirit Healthcare Group,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Blood glucose test strips(blood glucose test strips),Abbott Diabetes Care,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Retevmo(selpercatinib),Eli Lilly Canada Inc.,Concluded with an LOI,"Metastatic RET fusion-positive non-small cell lung cancer (NSCLC), Monotherapy for the treatment of adult patients"
Qinlock(ripretinib),Medison Pharma Canada Inc.,Concluded with an LOI,"Advanced gastrointestinal stromal tumor (GIST) in adult patients who have received prior treatment with imatinib, sunitinib, and regorafenib"
Insulin pumps and pump supplies(insulin pumps and pump supplies),Insulet Canada Corporation,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Insulin pumps and pump supplies(Insulin pumps and pump supplies),Ypsomed Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Insulin pumps and pump supplies(Insulin pumps and pump supplies),Medtronic Canada,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Intrarosa(prasterone),Lupin Pharma Canada Ltd.,Concluded without agreement,Postmenopausal vulvovaginal atrophy
Tavalisse(fostamatinib),Medison Pharma Canada Inc.,Negotiations were not pursued,Chronic Immune Thrombocytopenia
Bimzelx(bimekizumab),UCB Canada Inc.,Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Pemazyre(pemigatinib),Incyte Biosciences Canada Corporation,Negotiations were not pursued,Unresectable Locally Advanced or Metastatic Cholangiocarcinoma (CCA) in adults with previously treated CCA with a FGFR2 fusion or other rearrangement
Lorbrena(lorlatinib),Pfizer Canada ULC,Concluded without agreement,"Non-small cell lung cancer (NSCLC), anaplastic lymphoma kinase (ALK)-positive, locally advanced (not amenable to curative therapy) or metastatic, monotherapy for first-line treatment of adult patients"
Adtralza(tralokinumab),LEO Pharma Inc.,Negotiations were not pursued,Atopic dermatitis
Myinfla(colchicine),"Pendopharm, a division of Pharmascience Inc.",Negotiations were not pursued,Atherothrombotic Events in Coronary Artery Disease
Ngenla(somatrogon),Pfizer Canada ULC,Concluded with an LOI,Growth hormone deficiency
Libtayo(cemiplimab),Sanofi-Aventis Canada Inc.,Concluded without agreement,For the treatment of patients with locally advanced basal cell carcinoma (BCC) previously treated with a hedgehog pathway inhibitor
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Advanced or metastatic gastric, gastroesophageal junction or esophageal adenocarcinoma in adult patients (in combination with fluoropyrimidine- and platinum-containing chemotherapy)"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Carcinoma of the esophagus or HER-2 negative gastroesophageal junction adenocarcinoma, locally advanced unresectable or metastatic, in combination with platinum and fluoropyrimidine based chemotherapy, in adult patients (First-line treatment)"
Leqvio(inclisiran),Novartis Pharmaceuticals Canada Inc.,Active Negotiation,Primary hypercholesterolemia (non-familial and heterozygous familial)
Ultomiris(ravulizumab),Alexion Pharma GmbH,Concluded with an LOI,Paroxysmal nocturnal hemoglobinuria (PNH)
Bijuva(estradiol and progesterone),Knight Therapeutics Inc.,Concluded with an LOI,Vasomotor symptoms associated with menopause
Waymade-Trientine(trientine hydrochloride),Waymade Canada Inc,Concluded with an LOI,Wilson's Disease
Vectibix(panitumumab),Amgen Canada Inc.,Concluded with an LOI,Metastatic Colorectal Cancer
Phesgo SC(perjeta and herceptin),Hoffmann-La Roche Ltd.,Concluded without agreement,Metastatic breast cancer (HER2-positive) first-line treatment
Darzalex SC(Daratumumab),Janssen Inc.,Concluded with an LOI,"Light chain amyloidosis (AL), newly diagnosed in adult patients (in combination with bortezomib, cyclophosphamide, and dexamethasone)"
Trodelvy(sacituzumab govitecan),Gilead Sciences Canada Inc.,Concluded with an LOI,"Triple-negative breast cancer (mTNBC), unresectable locally advanced or metastatic, in adult patients who have received two or more prior therapies, at least one of them for metastatic disease"
Sarclisa(Isatuximab),Sanofi Genzyme Canada,Concluded with an LOI,"Multiple myeloma, relapsed or refractory, in patients who have received 1 to 3 prior lines of therapy (in combination with carfilzomib and dexamethasone)"
Piqray(alpelisib),Novartis Pharmaceuticals Canada Inc.,Concluded without agreement,"Advanced or metastatic breast cancer, Hormone receptor-positive, HER2-negative, PIK3CA mutated, after disease progression following an endocrine-based regimen, in postmenopausal women and men (In combination with fulvestrant)"
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Esophageal or gastroesophageal junction cancer, completely resected, adjuvant treatment in patients who have residual pathologic disease following prior neoadjuvant chemoradiotherapy (CRT)"
Perjeta(pertuzumab),Hoffmann-La Roche Ltd.,Concluded without agreement,"Breast cancer, Locally advanced, inflammatory, or early stage HER2-positive (either 2 cm in diameter or node positive), for neoadjuvant treatment of patients (in combination with trastuzumab and chemotherapy)"
Increlex(mecasermin),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded with an LOI,Severe Primary Insulin-like Growth Factor-1 Deficiency
Dojolvi(triheptanoin),Ultragenyx Canada Inc.,Concluded with an LOI,Long-Chain Fatty Acid Oxidation Disorders
Trazimera(trastuzumab),Pfizer Canada ULC,Concluded with an LOI,Metastatic breast cancer (HER2-positive) in patients who have not received prior antiHER2 therapy or chemotherapy for metastatic disease
Herzuma(trastuzumab),Teva Canada Ltd.,Concluded with an LOI,Metastatic breast cancer (HER2-positive) in patients who have not received prior antiHER2 therapy or chemotherapy for metastatic disease
Ogivri(trastuzumab),BGP Pharma ULC,Concluded with an LOI,Metastatic breast cancer (HER2-positive) in patients who have not received prior antiHER2 therapy or chemotherapy for metastatic disease
Kanjinti(trastuzumab),Amgen Canada Inc.,Concluded with an LOI,Metastatic breast cancer (HER2-positive) in patients who have not received prior antiHER2 therapy or chemotherapy for metastatic disease
Imvexxy(estradiol),Knight Therapeutics Inc.,Concluded with an LOI,"Postmenopausal dyspareunia, moderate to severe"
Tagrisso(osimertinib),AstraZeneca Canada Inc.,Concluded with an LOI,Non-small cell lung cancer (NSCLC) adjuvant therapy after tumour resection in patients with stage IB-IIIA non-small cell lung cancer (NSCLC) whose tumours have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations
