"Drug/device name","Medicinal ingredient","Manufacturer","Outcome","Decision date","Control number / Application number","Type of submission / Type of application"
"BLUE SKY BIO TAD","N/A","BLUE SKY BIO, LLC.","Approved","2024-11-15","381426","New device licence application"
"PANGEA TIBIA PLATING SYSTEM","N/A","STRYKER GMBH","Approved","2024-11-14","377130","New device licence application"
"IBS SCREWS","N/A","IN2BONES USA","Approved","2024-11-14","377286","New device licence application"
"HYDRUS MICROSTENT","N/A","IVANTIS, INC.","Approved","2024-11-14","383076","Amendment device licence application"
"PRIMA PLUS CONICAL","N/A","KEYSTONE DENTAL INC.","Approved","2024-11-14","380576","New device licence application"
"TAPERED PRO CONICAL IMPLANT SYSTEM","N/A","BIOHORIZONS IMPLANT SYSTEMS INC.","Approved","2024-11-14","382015","New device licence application"
"PANGEA FEMUR PLATING SYSTEM","N/A","STRYKER GMBH","Approved","2024-11-13","377127","New device licence application"
"PANGEA FIBULA PLATING SYSTEM","N/A","STRYKER GMBH","Approved","2024-11-13","377128","New device licence application"
"V5/V4 DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SAMSUNG MEDISON CO., LTD.","Approved","2024-11-13","382389","New device licence application"
"CD HORIZON SPINAL SYSTEM","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2024-11-13","379988","Amendment device licence application"
"OPN NC SUPER HIGH PRESSURE PTCA DILATATION CATHETER (OPN NC)","N/A","SIS MEDICAL AG","Approved","2024-11-13","380451","New device licence application"
"UNIVERS SHOULDER PROSTHESIS SYSTEM","N/A","ARTHREX INC","Approved","2024-11-13","381033","Amendment device licence application"
"STRAUMANN BONE LEVEL TORCFIT IMPLANT SYSTEM","N/A","INSTITUT STRAUMANN AG","Approved","2024-11-13","382064","Amendment device licence application"
"ZIMMER NATURAL NAIL SYSTEM - CEPHALOMEDULLARY FEMORAL NAILS","N/A","ZIMMER GMBH","Approved","2024-11-13","383091","Amendment device licence application"
"TRUE DILATATION BALLOON VALVULOPLASTY CATHETER","N/A","BARD PERIPHERAL VASCULAR, INC.","Approved","2024-11-13","383233","Amendment device licence application"
"SINGLE DRUG OR MULTI-DRUG RAPID TEST PANEL WITH/WITHOUT ADULTERATION (URINE)","N/A","HANGZHOU ALLTEST BIOTECH CO., LTD.","Approved","2024-11-13","383563","Amendment device licence application"
"PANGEA PERIPRO FEMUR PLATING SYSTEM","N/A","STRYKER GMBH","Approved","2024-11-12","377121","New device licence application"
"PANGEA HUMERUS PLATING SYSTEM","N/A","STRYKER GMBH","Approved","2024-11-12","377129","New device licence application"
"INCEPTIV","N/A","MEDTRONIC INC.","Approved","2024-11-08","374451","New device licence application"
"INTELLIS PRO","N/A","MEDTRONIC INC.","Approved","2024-11-08","374461","New device licence application"
"PANGEA UTILITY PLATING SYSTEM","N/A","STRYKER GMBH","Approved","2024-11-08","377125","New device licence application"
"RIALTO SI FUSION SYSTEM","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2024-11-08","379667","New device licence application"
"ACUSON SEQUOIA DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SIEMENS MEDICAL SOLUTIONS USA, INC.","Approved","2024-11-08","379756","Amendment device licence application"
"ULTRASOUND TRANSDUCERS FOR ACUSON SYSTEMS","N/A","SIEMENS MEDICAL SOLUTIONS USA, INC.","Approved","2024-11-08","379757","Amendment device licence application"
"GORE EXCLUDER CONFORMABLE AAA ENDOPROSTHESIS","N/A","W.L. GORE & ASSOCIATES INC","Approved","2024-11-08","379762","New device licence application"
"CRT-P MRI SURESCAN","N/A","MEDTRONIC INC.","Approved","2024-11-08","380026","Amendment device licence application"
"ULTHERA SYSTEM","N/A","ULTHERA, INC.","Approved","2024-11-08","380566","Amendment device licence application"
"EXCOR SYSTEM","N/A","BERLIN HEART GMBH","Approved","2024-11-08","380696","Amendment device licence application"
"CONTINUUM, TRILOGY IT, ALLOFIT IT ACETABULAR SYSTEMS BIOLOX DELTA CERAMIC TAPER LINER","N/A","ZIMMER SWITZERLAND MANUFACTURING GMBH","Approved","2024-11-08","383087","Amendment device licence application"
"AVENIR MULLER SYSTEM","N/A","ZIMMER GMBH","Approved","2024-11-08","383089","Amendment device licence application"
"BIOLOX OPTION CERAMIC FEMORAL HEAD","N/A","ZIMMER GMBH","Approved","2024-11-08","383090","Amendment device licence application"
"SYNERGY MEGATRON MONORAIL EVEROLIMUS-ELUTING PLATINUM CHROMIUM CORONARY STENT SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2024-11-08","383276","Amendment device licence application"
"XPERT HIV-1 VIRAL LOAD XC","N/A","CEPHEID AB","Approved","2024-11-07","356802","New device licence application"
"BD COR SYSTEM","N/A","BECTON DICKINSON AND COMPANY (BD)","Approved","2024-11-07","376466","Amendment device licence application"
"LAP-BAND ADJUSTABLE GASTRIC BANDING (LAGB) SYSTEM","N/A","RESHAPE LIFESCIENCES, INC.","Approved","2024-11-07","378076","Amendment device licence application"
"ALCON CILCO IOL - PMMA 1 PIECE","N/A","ALCON LABORATORIES INC.","Approved","2024-11-07","378891","Amendment device licence application"
"OMNI LEGEND","N/A","GE MEDICAL SYSTEMS, LLC","Approved","2024-11-07","381676","Amendment device licence application"
"YPSOPUMP","N/A","YPSOMED AG","Approved","2024-11-06","367988","Amendment device licence application"
"LIQUICHEK CARDIAC ADVANCE CONTROL","N/A","BIO-RAD LABORATORIES","Approved","2024-11-06","374288","New device licence application"
"ENTERIC PATHOGENS CONTROL PANEL (INACTIVATED PELLET)","N/A","MICROBIOLOGICS, INC.","Approved","2024-11-06","375814","New device licence application"
"INTERNAL DISTRACTORS","N/A","KLS MARTIN L.P.","Approved","2024-11-06","377664","Amendment device licence application"
"BODYTOM 64","N/A","NEUROLOGICA CORPORATION A SUBSIDIARY OF SAMSUNG ELECTRONICS CO., LTD.","Approved","2024-11-06","378232","New device licence application"
"APTIMA CMV QUANT ASSAY","N/A","HOLOGIC, INC.","Approved","2024-11-06","379120","Amendment device licence application"
"EPSTAR FIXED ELECTROPHYSIOLOGY CATHETER WITH LUMEN","N/A","BAYLIS MEDICAL COMPANY INC.","Approved","2024-11-06","383047","Amendment device licence application"
"RF WIRE","N/A","BAYLIS MEDICAL COMPANY INC.","Approved","2024-11-06","382359","Amendment device licence application"
"PHILIPS LASER SYSTEM","N/A","SPECTRANETICS CORPORATION","Approved","2024-11-06","382992","New device licence application"
"ACCESS SOLUTIONS","N/A","BAYLIS MEDICAL COMPANY INC.","Approved","2024-11-06","382994","Amendment device licence application"
"EPSTAR FIXED ELECTROPHYSIOLOGY CATHETER","N/A","BAYLIS MEDICAL COMPANY INC.","Approved","2024-11-06","383058","Amendment device licence application"
"ABO AND RHD BLOOD GROUPING RAPID TEST CASSETTE (WHOLE BLOOD)","N/A","HANGZHOU ALLTEST BIOTECH CO., LTD.","Approved","2024-11-05","360309","New device licence application"
"TECHNO-PATH MULTICHEM IA/IA PLUS","N/A","TECHNO-PATH MANUFACTURING LTD.","Approved","2024-11-05","376326","Amendment device licence application"
"ALIGNRT","N/A","VISION RT LTD","Approved","2024-11-05","377746","Amendment device licence application"
"AHBP ABSORBABLE HEMOSTATIC BONE PUTTY","N/A","ABYRX, INC.","Approved","2024-11-05","380020","New device licence application"
"NRG TRANSSEPTAL NEEDLE","N/A","BAYLIS MEDICAL COMPANY INC.","Approved","2024-11-05","383046","Amendment device licence application"
"INSTI HCV ANTIBODY TEST AND INSTI HCV TEST CONTROLS","N/A","BIOLYTICAL LABORATORIES INC.","Approved","2024-11-01","361483","New device licence application"
"CAMAPS FX","N/A","CAMDIAB LTD","Approved","2024-11-01","369381","New device licence application"
"INTELIQ CARDIAC ADVANCE CONTROL","N/A","BIO-RAD LABORATORIES","Approved","2024-11-01","374289","New device licence application"
"ACCESS HSTNI ASSAY","N/A","IMMUNOTECH S.A.S., A BECKMAN COULTER COMPANY","Approved","2024-11-01","375650","Amendment device licence application"
"STELLARIS ELITE VISION ENHANCEMENT SYSTEM","N/A","BAUSCH & LOMB INC.","Approved","2024-11-01","376520","Amendment device licence application"
"SECRET DUO","N/A","ILOODA CO., LTD","Approved","2024-10-31","369553","New device licence application"
"SURGI-ORC ORIGINAL/STANDARD","N/A","AEGIS LIFESCIENCES PVT. LTD.","Approved","2024-10-31","369554","New device licence application"
"N!CE ZIRCONIA","N/A","INSTITUT STRAUMANN AG","Approved","2024-10-31","373846","New device licence application"
"LEOS CANNULATED SCREW SYSTEM","N/A","TYBER MEDICAL, LLC.","Approved","2024-10-31","380075","New device licence application"
"AVALON FETAL MONITOR FM30","N/A","PHILIPS MEDIZIN SYSTEME BOBLINGEN GMBH","Approved","2024-10-30","382592","Amendment device licence application"
"PERFIX LIGHT PLUG","N/A","DAVOL, INC., SUBSIDIARY OF C.R. BARD INC.","Approved","2024-10-30","379309","New device licence application"
"AVALON FETAL MONITOR FM20","N/A","PHILIPS MEDIZIN SYSTEME BOBLINGEN GMBH","Approved","2024-10-30","382591","Amendment device licence application"
"AVALON FETAL MONITOR FM40","N/A","PHILIPS MEDIZIN SYSTEME BOBLINGEN GMBH","Approved","2024-10-30","382593","Amendment device licence application"
"AVALON FETAL MONITOR FM50","N/A","PHILIPS MEDIZIN SYSTEME BOBLINGEN GMBH","Approved","2024-10-30","382594","Amendment device licence application"
"SMARTCT 3.0","N/A","PHILIPS MEDICAL SYSTEMS NEDERLAND B.V.","Approved","2024-10-30","382604","New device licence application"
"ALTO ABDOMINAL STENT GRAFT SYSTEM","N/A","ENDOLOGIX, LLC","Approved","2024-10-30","382753","Amendment device licence application"
"SALVINOSS COLLAGEN XENOGRAFT + COLLAGEN BONE GRAFT MATERIAL","N/A","DSM BIOMEDICAL, INC. D.B.A. DSM BIOMEDICAL","Approved","2024-10-30","382927","Amendment device licence application"
"AETOS SHOULDER SYSTEM (ANATOMIC)","N/A","SMITH & NEPHEW, INC.","Approved","2024-10-29","377166","New device licence application"
"ALINITY M HR HPV","N/A","ABBOTT MOLECULAR INC.","Approved","2024-10-29","374851","Amendment device licence application"
"PERFIX PLUG","N/A","DAVOL, INC., SUBSIDIARY OF C.R. BARD INC.","Approved","2024-10-29","379288","Amendment device licence application"
"VENTANA PD-L1 (SP263) ASSAY","N/A","VENTANA MEDICAL SYSTEMS INC","Approved","2024-10-29","382466","Amendment device licence application"
"MYCARELINK PATIENT MONITOR","N/A","MEDTRONIC INC.","Approved","2024-10-29","382926","Amendment device licence application"
"UNIVERSAL ORBITAL FLOOR SYSTEM","N/A","STRYKER LEIBINGER GMBH & CO. KG","Approved","2024-10-29","383191","Amendment device licence application"
"TITAN TOTAL SHOULDER SYSTEM","N/A","ASCENSION ORTHOPEDICS INC.","Approved","2024-10-28","371160","New device licence application"
"BD ONCLARITY HPV ASSAY","N/A","BECTON DICKINSON AND COMPANY (BD)","Approved","2024-10-25","350566","Amendment device licence application"
"XIENCE SKYPOINT EVEROLIMUS ELUTING CORONARY STENT SYSTEM","N/A","ABBOTT MEDICAL","Approved","2024-10-24","378006","Amendment device licence application"
"SELECTSECURE 3830","N/A","MEDTRONIC INC.","Approved","2024-10-24","381853","Amendment device licence application"
"ARIETTA 65 DIAGNOSTIC ULTRASOUND SYSTEM","N/A","FUJIFILM CORPORATION","Approved","2024-10-24","379701","Amendment device licence application"
"ARIETTA 650 DIAGNOSTIC ULTRASOUND SYSTEM","N/A","FUJIFILM CORPORATION","Approved","2024-10-24","379702","Amendment device licence application"
"ADVISOR HD GRID X SENSOR ENABLED HIGH DENSITY MAPPING CATHETER","N/A","ABBOTT MEDICAL","Approved","2024-10-24","382707","New device licence application"
"XPERT XPRESS STREP A","N/A","CEPHEID","Approved","2024-10-23","356785","Amendment device licence application"
"GENEXPERT XPRESS SYSTEM","N/A","CEPHEID","Approved","2024-10-23","356903","New device licence application"
"POSITRON EMISSION TOMOGRAPHY AND COMPUTED TOMOGRAPHY SYSTEM (UMI PANORAMA 28/35)","N/A","SHANGHAI UNITED IMAGING HEALTHCARE CO., LTD.","Approved","2024-10-23","369568","New device licence application"
"TRANSCEND UNIVERSAL COMPOSITE","N/A","ULTRADENT PRODUCTS, INC.","Approved","2024-10-23","376418","New device licence application"
"ELECSYS TROPONIN T HS","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2024-10-23","381913","Amendment device licence application"
"IMMULINK","N/A","IMMUCOR INC.","Approved","2024-10-22","378450","Amendment device licence application"
"MMF SCREWS","N/A","STRYKER LEIBINGER GMBH & CO. KG","Approved","2024-10-22","383083","Amendment device licence application"
"SIMPLEXA CONGENITAL CMV","N/A","DIASORIN MOLECULAR LLC","Approved","2024-10-21","357394","New device licence application"
"OMNITOM ELITE","N/A","NEUROLOGICA CORPORATION A SUBSIDIARY OF SAMSUNG ELECTRONICS CO., LTD.","Approved","2024-10-21","368142","Amendment device licence application"
"BD COR SYSTEM","N/A","BECTON DICKINSON AND COMPANY (BD)","Approved","2024-10-21","371112","Amendment device licence application"
"ACCESS NT-PROBNP","N/A","IMMUNOTECH S.A.S., A BECKMAN COULTER COMPANY","Approved","2024-10-21","371829","New device licence application"
"MDX-CHEX FOR BCID2","N/A","STRECK","Approved","2024-10-21","378086","New device licence application"
"CARBAPENEM-RESISTANT ENTEROBACTERIACEAE (CRE) CONTROL PANEL (INACTIVATED SWAB)","N/A","MICROBIOLOGICS, INC.","Approved","2024-10-21","378946","New device licence application"
"SINGLE PLATFORM SP1 IMPLANT SYSTEM","N/A","SOUTHERN IMPLANTS PTY LTD.","Approved","2024-10-21","380477","New device licence application"
"EPI-SENSE COAGULATION SYSTEM","N/A","ATRICURE, INC.","Approved","2024-10-21","382167","Amendment device licence application"
"CARDIOSAVE SYSTEM - HYBRID & RESCUE INTRA-AORTIC BALLOON PUMP","N/A","DATASCOPE CORP.","Approved","2024-10-18","378449","Amendment device licence application"
"HERA Z20 DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SAMSUNG MEDISON CO., LTD.","Approved","2024-10-18","381989","New device licence application"
"RESPIRATORY CONTROLS","N/A","EXACT DIAGNOSTICS","Approved","2024-10-18","374287","New device licence application"
"AETOS SHOULDER SYSTEM (REVERSE)","N/A","SMITH & NEPHEW, INC.","Approved","2024-10-18","377168","New device licence application"
"MICRA VR2/MICRA AV2 TRANSCATHETER PACING SYSTEM","N/A","MEDTRONIC INC.","Approved","2024-10-17","379513","New device licence application"
"SCOUTPRO OSMOLARITY SYSTEM","N/A","TRUKERA MEDICAL","Approved","2024-10-17","364959","New device licence application"
"DG GEL SYSTEM","N/A","DIAGNOSTIC GRIFOLS S.A.","Approved","2024-10-17","375870","Amendment device licence application"
"PIPELINE FLEX EMBOLIZATION DEVICE WITH SHIELD TECHNOLOGY","N/A","MICRO THERAPEUTICS INC. DBA EV3 NEUROVASCULAR","Approved","2024-10-17","376696","Amendment device licence application"
"EMBOLIZATION COILS","N/A","MICRO THERAPEUTICS INC. DBA EV3 NEUROVASCULAR","Approved","2024-10-17","376700","Amendment device licence application"
"PIPELINE EMBOLIZATION DEVICE (PED)","N/A","MICRO THERAPEUTICS INC. DBA EV3 NEUROVASCULAR","Approved","2024-10-17","376701","Amendment device licence application"
"SOLITAIRE REVASCULARIZATION DEVICE","N/A","MICRO THERAPEUTICS INC. DBA EV3 NEUROVASCULAR","Approved","2024-10-17","376702","Amendment device licence application"
"CONCERTO DETACHABLE COIL SYSTEM","N/A","MICRO THERAPEUTICS INC. DBA EV3 NEUROVASCULAR","Approved","2024-10-17","376703","Amendment device licence application"
"ONYX LIQUID EMBOLIC SYSTEM","N/A","MICRO THERAPEUTICS INC. DBA EV3 NEUROVASCULAR","Approved","2024-10-17","376704","Amendment device licence application"
"PATIENT CONNECTOR","N/A","MEDTRONIC INC.","Approved","2024-10-17","379537","Amendment device licence application"
"CARELINK SMARTSYNC DEVICE MANAGER","N/A","MEDTRONIC INC.","Approved","2024-10-17","379538","Amendment device licence application"
"XPERT FII & FV","N/A","CEPHEID","Approved","2024-10-17","380573","Amendment device licence application"
"DG GEL SYSTEM","N/A","DIAGNOSTIC GRIFOLS S.A.","Approved","2024-10-17","381690","Amendment device licence application"
"ELECSYS PROBNP II","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2024-10-17","381915","Amendment device licence application"
"FLEXABILITY ABLATION CATHETER","N/A","ABBOTT MEDICAL","Approved","2024-10-17","382073","Amendment device licence application"
"FLEXABILITY ABLATION CATHETER, SENSOR ENABLED","N/A","ABBOTT MEDICAL","Approved","2024-10-17","382074","Amendment device licence application"
"SYNCHROMED III","N/A","MEDTRONIC INC.","Approved","2024-10-16","377624","New device licence application"
"TITAN REVERSE SHOULDER SYSTEM","N/A","ASCENSION ORTHOPEDICS INC.","Approved","2024-10-15","371161","New device licence application"
"LUMEN-APPOSING METAL STENT WITH ELECTROCAUTERY DELIVERY SYSTEM","N/A","M.I. TECH CO., LTD.","Approved","2024-10-11","372899","New device licence application"
"IMPELLA RP CIRCULATORY SUPPORT SYSTEM","N/A","ABIOMED INC.","Approved","2024-10-11","377386","Amendment device licence application"
"ACUPULSE","N/A","LUMENIS BE LTD.","Approved","2024-10-11","381269","New device licence application"
"DG GEL SYSTEM","N/A","DIAGNOSTIC GRIFOLS S.A.","Approved","2024-10-10","375097","Amendment device licence application"
"CERAMENT V","N/A","BONESUPPORT AB","Approved","2024-10-10","375103","New device licence application"
"IMPELLA CIRCULATORY SUPPORT SYSTEM","N/A","ABIOMED INC.","Approved","2024-10-10","376976","Amendment device licence application"
"DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD.","Approved","2024-10-10","377656","New device licence application"
"ASCENDA INTRATHECAL CATHETER","N/A","MEDTRONIC INC.","Approved","2024-10-10","381478","Amendment device licence application"
"OPTICROSS 35 15MHZ PERIPHERAL IMAGING CATHETER","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2024-10-10","381483","Amendment device licence application"
"ACCESS AMH ADVANCED","N/A","IMMUNOTECH S.A.S., A BECKMAN COULTER COMPANY","Approved","2024-10-09","356699","New device licence application"
"LIAISON XL ANALYZER SYSTEM","N/A","DIASORIN INC.","Approved","2024-10-09","362522","Amendment device licence application"
"VOLNEWMER","N/A","CLASSYS INC.","Approved","2024-10-09","376355","New device licence application"
"ELITE IQ","N/A","DEKA M.E.L.A. S.R.L.","Approved","2024-10-09","376506","Amendment device licence application"
"DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD.","Approved","2024-10-09","377607","Amendment device licence application"
"MODULAR REPLACEMENT SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2024-10-09","379241","Amendment device licence application"
"GLOBAL MODULAR REPLACEMENT SYSTEM (GMRS)","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2024-10-09","379244","Amendment device licence application"
"BEAUTILINK SA","N/A","SHOFU INC.","Approved","2024-10-09","381467","New device licence application"
"3.5/4.5MM VA-LCP PERIPROSTHETIC PROXIMAL FEMUR PLATING SYSTEM","N/A","SYNTHES GMBH","Approved","2024-10-07","378412","New device licence application"
"DIAGNOSTIC ULTRASOUND SYSTEM (CONSONA N9 SERIES)","N/A","SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD.","Approved","2024-10-07","372508","New device licence application"
"ENSITE X EP SYSTEM","N/A","ABBOTT MEDICAL","Approved","2024-10-07","381334","Amendment device licence application"
"DENMAT BULK FILL","N/A","DEN-MAT HOLDINGS, LLC","Approved","2024-10-07","381471","New device licence application"
"UNIVERSAL NEURO III (STERILE)","N/A","STRYKER LEIBINGER GMBH & CO. KG","Approved","2024-10-07","382364","Amendment device licence application"
"EMMIND","N/A","BTL INDUSTRIES LIMITED","Approved","2024-10-04","379327","New device licence application"
"ENVISTA HYDROPHOBIC ACRYLIC IOL - TORIC","N/A","BAUSCH & LOMB INC.","Approved","2024-10-04","379539","Amendment device licence application"
"VANGUARD TOTAL KNEE","N/A","BIOMET ORTHOPEDICS","Approved","2024-10-04","382390","Amendment device licence application"
"RXSIGHT LAL+ SYSTEM","N/A","RXSIGHT, INC.","Approved","2024-10-03","378059","New device licence application"
"CENTRO TP/ TPH/ XL/ XLH","N/A","DWA GMBH & CO. KG","Approved","2024-10-03","378129","New device licence application"
"PRO PLATING SYSTEM","N/A","STRYKER GMBH","Approved","2024-10-03","378964","Amendment device licence application"
"ULTRASOUND PROBES","N/A","ESAOTE S.P.A","Approved","2024-10-03","379257","Amendment device licence application"
"MYLAB ULTRASOUND SYSTEMS","N/A","ESAOTE S.P.A","Approved","2024-10-03","379261","New device licence application"
"ABUTMENTS","N/A","A.B. DENTAL DEVICES, LTD.","Approved","2024-10-03","379536","Amendment device licence application"
"SMALL FRACTURE PLATES, STAINLESS STEEL","N/A","ARTHREX INC","Approved","2024-10-02","382355","Amendment device licence application"
"EDWARDS SAPIEN 3 TRANSCATHETER PULMONARY VALVE SYSTEM WITH ALTERRA ADAPTIVE PRESTENT","N/A","EDWARDS LIFESCIENCES LLC","Approved","2024-10-01","366309","New device licence application"
"MENTOR MEMORYGEL SILICONE GEL-FILLED BREAST IMPLANTS - TEXTURED","N/A","MENTOR","Approved","2024-10-01","383271","Amendment device licence application"
"MENTOR MEMORYGEL SILICONE GEL-FILLED BREAST IMPLANTS - SMOOTH","N/A","MENTOR","Approved","2024-10-01","383272","Amendment device licence application"
"SILTEX CONTOUR PROFILE TISSUE EXPANDERS","N/A","MENTOR","Approved","2024-10-01","383274","Amendment device licence application"
"CPX4 BREAST TISSUE EXPANDER SMOOTH","N/A","MENTOR","Approved","2024-10-01","383275","Amendment device licence application"
"VNS THERAPY SYSTEM","N/A","LIVANOVA USA, INC.","Approved","2024-09-27","380331","Amendment device licence application"
"ARTHREX SMALL FRACTURE PLATES","N/A","ARTHREX INC","Approved","2024-09-27","377058","Amendment device licence application"
"APTIMA TRICHOMONAS VAGINALIS ASSAY","N/A","HOLOGIC, INC.","Approved","2024-09-27","374653","Amendment device licence application"
"ISTENT TRABECULAR MICRO-BYPASS STENT SYSTEM (WITH INSERTER)","N/A","GLAUKOS CORPORATION","Approved","2024-09-27","377994","Amendment device licence application"
"DIAGNOSTIC ULTRASOUND SYSTEM (HEPATUS 7 SERIES)","N/A","SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD.","Approved","2024-09-27","380891","New device licence application"
"ISTENT INJECT TRABECULAR MICRO-BYPASS SYSTEM MODEL G2-M-IS","N/A","GLAUKOS CORPORATION","Approved","2024-09-27","377997","Amendment device licence application"
"VNS THERAPY SENTIVA DUO","N/A","LIVANOVA USA, INC.","Approved","2024-09-27","380330","Amendment device licence application"
"AXSOS 3 TI","N/A","STRYKER GMBH","Approved","2024-09-27","380466","Amendment device licence application"
"ATRICLIP LAA EXCLUSION SYSTEM","N/A","ATRICURE, INC.","Approved","2024-09-27","380520","Amendment device licence application"
"ARTHREX SUPPORT SCREWS - TITANIUM","N/A","ARTHREX INC","Approved","2024-09-26","377053","Amendment device licence application"
"HSV-2 CONTROLS","N/A","EXACT DIAGNOSTICS","Approved","2024-09-26","374285","New device licence application"
"EBV CONTROLS","N/A","EXACT DIAGNOSTICS","Approved","2024-09-26","374286","New device licence application"
"ALMA HARMONY","N/A","ALMA LASERS LTD.","Approved","2024-09-26","377404","New device licence application"
"Q-OSS+ COLLAGEN","N/A","OSSTEM IMPLANT CO. LTD","Approved","2024-09-26","380316","New device licence application"
"ANYONE EXTERNAL IMPLANT SYSTEM","N/A","MEGAGEN IMPLANT CO., LTD.","Approved","2024-09-26","380595","New device licence application"
"ARGO KNOTLESS GENESYS ANCHOR SYSTEM","N/A","CONMED CORPORATION","Approved","2024-09-25","381039","New device licence application"
"COOLSCULPTING ELITE SYSTEM","N/A","ZELTIQ AESTHETICS, INC.","Approved","2024-09-25","367989","New device licence application"
"ELISA 600 - 800","N/A","LOWENSTEIN MEDICAL INNOVATION GMBH & CO. KG","Approved","2024-09-25","361248","New device licence application"
"POWER ASSISTED LIPOPLASTY (PAL) SYSTEM","N/A","MICROAIRE SURGICAL INSTRUMENTS, LLC","Approved","2024-09-25","372157","New device licence application"
"LIAISON XL ANALYZER SYSTEM","N/A","DIASORIN INC.","Approved","2024-09-25","372843","Amendment device licence application"
"BEAUTIBOND XTREME","N/A","SHOFU INC.","Approved","2024-09-25","378257","New device licence application"
"VOLUSON SIGNATURE","N/A","GE ULTRASOUND KOREA, LTD","Approved","2024-09-25","378314","New device licence application"
"CALIBRA ABUTMENT RESIN CEMENT","N/A","DENTSPLY LLC ALSO DBA DENTSPLY CAULK","Approved","2024-09-25","381848","New device licence application"
"F CARE RF SYSTEM","N/A","F CARE SYSTEMS NV","Approved","2024-09-24","374254","New device licence application"
"PALACOS FAST R+G","N/A","HERAEUS MEDICAL GMBH","Approved","2024-09-24","376271","Amendment device licence application"
"GEENEN SOF-FLEX PANCREATIC STENT","N/A","COOK IRELAND LTD.","Approved","2024-09-24","379738","Amendment device licence application"
"COTTON-LEUNG SOF-FLEX BILIARY STENT","N/A","COOK IRELAND LTD.","Approved","2024-09-24","379740","Amendment device licence application"
"BILIARY STENT SETS","N/A","COOK IRELAND LTD.","Approved","2024-09-24","379742","Amendment device licence application"
"PANCREATIC STENT SET","N/A","COOK IRELAND LTD.","Approved","2024-09-24","379744","Amendment device licence application"
"PANGEA PLATFORM","N/A","STRYKER GMBH","Approved","2024-09-23","377123","New device licence application"
"FILMARRAY PNEUMONIA PANEL PLUS","N/A","BIOFIRE DIAGNOSTICS, LLC.","Approved","2024-09-20","364291","New device licence application"
"DESS DENTAL SMART SOLUTIONS","N/A","TERRATS MEDICAL S.L.","Approved","2024-09-20","377650","Amendment device licence application"
"EMPHASYS DUAL MOBILITY SYSTEM","N/A","DEPUY IRELAND UC","Approved","2024-09-19","363063","New device licence application"
"VISUAL-ICE CRYOABLATION SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2024-09-19","373545","Amendment device licence application"
"VISUAL-ICE MRI CRYOABLATION SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2024-09-19","373546","Amendment device licence application"
"ICEFX CRYOABLATION SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2024-09-19","373650","Amendment device licence application"
"SYMPHONY - MRI GUIDED FOCUSED ULTRASOUND SYSTEM","N/A","ARRAYUS TECHNOLOGIES INC.","Approved","2024-09-19","375596","New device licence application"
"OPTIMIZER SMART MINI SYSTEM","N/A","IMPULSE DYNAMICS (USA) INC.","Approved","2024-09-19","375934","Amendment device licence application"
"CRANIAL NAVIGATION","N/A","BRAINLAB AG","Approved","2024-09-19","378335","New device licence application"
"FARAPULSE PULSED FIELD ABLATION SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2024-09-19","379951","Amendment device licence application"
"TACTIFLEX ABLATION CATHETER, SENSOR ENABLED","N/A","ABBOTT MEDICAL","Approved","2024-09-19","380966","Amendment device licence application"
"ADVISOR HD GRID MAPPING CATHETER, SENSOR ENABLED","N/A","ABBOTT MEDICAL","Approved","2024-09-19","380967","Amendment device licence application"
"TACTISYS QUARTZ EQUIPMENT","N/A","ABBOTT MEDICAL","Approved","2024-09-19","382555","Amendment device licence application"
"PRISMAFLEX HAEMODIALYSIS SETS WITH FILTER","N/A","BAXTER HEALTHCARE SA","Approved","2024-09-18","375867","Amendment device licence application"
"AXONICS SACRAL NEUROMODULATION (SNM) SYSTEM","N/A","AXONICS, INC.","Approved","2024-09-18","377339","Amendment device licence application"
"COMBI","N/A","CARL ZEISS MEDITEC AG","Approved","2024-09-18","367676","New device licence application"
