Date,Trademark / Project,Common name / Subject,Manufacturer,INESSS Recommendation,Minister's Decision
2022-03-02,Bio-Telmisartan,telmisartan,Biomed,Inscription,Inscrire aux listes des médicaments
2022-03-02,Bleu de méthylène injectable,bleu de méthylène,Phebra,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2022-03-02,Darzalex SC (amylose à chaîne légère),daratumumab,Janssen,Inscription - Avec conditions,"Inscrire à la liste des médicaments- Établissements- Médicament d'exception (2022-04-13)
Surseoir à la décision (2022-03-02)"
2022-03-02,Evrysdi (amyotrophie spinale 5q),Risdiplam,Roche,Modification d’une indication reconnue,Modifier une indication reconnue aux listes des médicaments- Médicament d'exception (2022-03-02)
2022-03-02,Faslodex (cancer du sein avancé ou métastatique),fulvestrant,AZC,Concordances,Surseoir à la décision (2022-03-02)
2022-03-02,Fulvestrant Injectable (cancer du sein avancé ou métastatique),fulvestrant,Sandoz,Concordances,Surseoir à la décision (2022-03-02)
2022-03-02,Jamp Atorvastatin Calcium,atorvastatine calcique,Jamp,Inscription,Inscrire aux listes des médicaments
2022-03-02,Keytruda (cancer de l’œsophage ou de l’adénocarcinome de la jonction gastro-œsophagienne (JGO) localement avancé non résécable ou métastatique),pembrolizumab,Merck,Inscription - Avec conditions,"Ajouter une indication reconnue à la liste des médicaments-Établissements-Médicament d'exception (2022-04-13)-cancer de l'œsophage ou de la jonction gastro-oesophagienne
Surseoir à la décision (2022-03-02)"
2022-03-02,NRA-Letrozole,létrozole,Nora Pharma,Inscription,Inscrire aux listes des médicaments
2022-03-02,PRZ-Rosuvastatin,rosuvastatine calcique,Pharmaris,Inscription,Inscrire aux listes des médicaments
2022-03-02,PRZ-Solifenacin,solifénacine (succinate de),Pharmaris,Inscription,Inscrire aux listes des médicaments
2022-03-02,Perindopril Erbumine/Indapamine,périndopril erbumine/indapamine,Pro Doc,Inscription,"Inscrire à la Liste des médicaments
 du RGAM"
2022-03-02,Perindopril Erbumine/Indapamine HD,périndopril erbumine/indapamine,Pro Doc,Inscription,"Inscrire à la Liste des médicaments
 du RGAM"
2022-03-02,Perindopril/Indapamide,périndopril erbumine/indapamine,Sanis,Inscription,Inscrire aux listes des médicaments
2022-03-02,"Perjeta (association avec le trastuzumab et une taxane, pour le cancer du sein métastatique HER2+)",Pertuzumab,Roche,Concordances,"Ajouter une indication reconnue à la liste des médicaments-Établissements-Médicament d'exception (2023-03-01)
Surseoir à la décision (2022-03-02)"
2022-03-02,Spinraza (amyotrophie spinale 5q),Nusinersen,Biogen,Modification d’une indication reconnue,Modifier une indication reconnue à la listes des médicaments-Établissements- Médicament d'exception (2022-03-02)
2022-03-02,Taro-Temolozomide (glioblastome multiforme et astrocytome anaplasique),Témozolomide,Merck et autres,Transfert à la section régulière,Transférer à la section régulière des listes des médicaments (2022-03-02)
2022-03-02,Temodal (glioblastome multiforme et astrocytome anaplasique),Témozolomide,Merck et autres,Transfert à la section régulière,Transférer à la section régulière des listes des médicaments (2022-03-02)
2022-03-02,Teva-Fulvestrant Injection (cancer du sein avancé ou métastatique),fulvestrant,Teva,Concordances,Surseoir à la décision (2022-03-02)
2022-03-02,Zolgensma (amyotrophie spinale 5q),Onasemnogène abéparvovec,Novartis,Modification d’une indication reconnue,Modifier une indication reconnue à la listes des médicaments-Établissements- Médicament d'exception (2022-03-02)
2022-02-04,Actemra (arthrite juvénile idiopathique),tocilizumab,Roche,Inscription - Avec conditions,"Ajouter des indications reconnues aux listes des médicaments-Médicament d'exception (2022-04-13)
Surseoir à la décision (2022-03-02)"
2022-02-04,Adtralza (dermatite atopique modérée à grave),tralokinumab,Leo,Refus d'inscription,Ne pas inscrire aux listes des médicaments (2022-03-02)
2022-02-04,Brukinsa (macroglobulinémie de Waldenström),zanubrutinib,BeiGene,Inscription - Avec conditions,"Inscrire aux listes des médicaments-Médicament d'exception (2023-02-01)
Surseoir à la décision (2022-03-02)"
2022-02-04,"Herzuma (association avec le pertuzumab et une taxane, pour le cancer du sein métastatique HER2+)",trastuzumab,Teva Innov,Inscription - Avec conditions,"Ajouter une indication reconnue à la liste des médicaments-Établissements-Médicament d'exception (2023-03-01)
Surseoir à la décision (2022-03-02)"
2022-02-04,Losec Mups (réduction de la sécrétion d’acide gastrique),oméprazole (base ou magnésien),Xediton,Refus d'inscription,Ne pas inscrire aux listes des médicaments (2022-03-02)
2022-02-04,Myinfla (réduction des événements athérothrombotiques),colchicine,Pendopharm,Refus d'inscription,Ne pas inscrire aux listes des médicaments (2022-03-02)
2022-02-04,Piqray (cancer du sein avancé ou métastatique),alpelisib,Novartis,Inscription - Avec conditions,Surseoir à la décision (2022-03-02)
2022-02-02,AA-Telmisartan-Amlodipine,telmisartan/amlodipine,AA Pharma,Inscription,Inscrire aux listes des médicaments
2022-02-02,ACH-Methotrexate,méthotrexate,Accord,Inscription,Inscrire aux listes des médicaments
2022-02-02,Bipazen,desmopressine (acétate de),KVR,Inscription,Inscrire aux listes des médicaments
2022-02-02,Capecitabine,capécitabine,Sanis,Inscription,Inscrire aux listes des médicaments
2022-02-02,Comprimés de drospirénone et d'éthinylestradiol,éthinylestradiol/drospirenone,Glenmark,Inscription,Inscrire aux listes des médicaments
2022-02-02,Diltiazem T,diltiazem (chlorhydrate de),Sanis,Inscription,Inscrire aux listes des médicaments
2022-02-02,Ertapenem pour Injection,ertapénem sodique,Aurobindo,Inscription,Inscrire aux listes des médicaments
2022-02-02,GLN-Dimethyl Fumarate,diméthyle (fumarate de),Glenmark,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2022-02-02,JAMP Sennaquil,sennosides A & B,Jamp,Refus d'inscription,Ne pas inscrire aux listes des médicaments
2022-02-02,Jamp Buspirone,buspirone (chlorhydrate de),Jamp,Inscription,Inscrire aux listes des médicaments
2022-02-02,M-Latanoprost,latanoprost,Mantra Ph.,Inscription,Inscrire aux listes des médicaments
2022-02-02,M-Latanoprost-Timolol,latanoprost/timolol (maléate de),Mantra Ph.,Inscription,Inscrire aux listes des médicaments
2022-02-02,Mint-Capecitabine,capécitabine,Mint,Inscription,Inscrire aux listes des médicaments
2022-02-02,Mycophenolic Acid,mycophénolate sodique,Jamp,Inscription,Inscrire aux listes des médicaments
2022-02-02,Octréotide pour suspension injectable,octréotide (acétate d'),Teva Can,Inscription,Inscrire aux listes des médicaments
2022-02-02,pms-Everolimus,évérolimus,Phmscience,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2022-02-02,pms-Silodosin,silodosine,Phmscience,Inscription,Inscrire aux listes des médicaments
2022-02-02,pmsc-Celecoxib,célécoxib,Phmscience,Inscription,Inscrire aux listes des médicaments
2022-02-02,Sandoz Pirfenidone Capsules,pirfénidone,Sandoz,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2022-02-02,Solution ophtalmique de tartrate de brimonidine,brimonidine (tartrate de),Teligent,Inscription,Inscrire aux listes des médicaments
2022-02-02,Ursodiol C,ursodiol,Sanis,Inscription,Inscrire aux listes des médicaments
2021-12-29,Abevmy (cancer colorectal métastatique et cancer de l’ovaire),bevacizumab,BGP Pharma,Inscription - Avec conditions,Inscrire à la listes des médicaments-Établissements- Médicament d'exception (2022-02-02)
2021-12-29,Bambevi (cancer colorectal métastatique et cancer de l’ovaire),bevacizumab,Apobiologix,Inscription - Avec conditions,Inscrire à la listes des médicaments-Établissements- Médicament d'exception (2022-02-02)
2021-12-29,Dojolvi (troubles d'oxydation des acides gras à longue chaîne),triheptanoïne,Ultragenyx,Refus d'inscription,Ne pas inscrire aux listes des médicaments (2022-02-02)
2021-12-29,Envarsus PA (greffe hépatique et rénale),tacrolimus,Paladin,Transfert à la section régulière,Transférer à la section régulière (2022-02-02)
2021-12-29,Kadcyla (cancer du sein),Trastuzumab emtansine,Roche,Concordances,Surseoir à la décision (2022-02-02)
2021-12-29,KetoVie peptide 4:1 (épilepsie réfractaire),formule nutritive – cétogène (semi-élémentaire),Ajinomoto,Inscription - Avec conditions,Inscrire à la liste des médicaments- RGAM -Médicament d'exception (2022-02-02)
2021-12-29,Leqvio (hypercholestérolémie familiale hétérozygote),inclisiran,Novartis,Inscription - Avec conditions,Surseoir à la décision (2022-02-02)
2021-12-29,Leqvio (maladie cardiovasculaire athéroscléreuse),inclisiran,Novartis,Refus d'inscription,Ne pas inscrire aux listes des médicaments (2022-02-02)
2021-12-29,Mar-Trientine (maladie de Wilson),trientine (chlorhydrate de),Marcan,Inscription - Avec conditions,"Inscrire aux listes des médicaments - Médicament d'exception (2021-05-26)
Surseoir à la décision (2022-02-02)"
2021-12-29,Perjeta (cancer du sein),pertuzumab,Roche,Inscription - Avec conditions,Surseoir à la décision (2022-02-02)
2021-12-29,Perjeta (cancer du sein),Pertuzumab,Roche,Concordances,Surseoir à la décision (2022-02-02)
2021-12-29,Praluent (hypercholestérolémie familiale hétérozygote),alirocumab,SanofiAven,Concordances,Surseoir à la décision (2022-02-02)
2021-12-29,Repatha (hypercholestérolémie familiale hétérozygote),évolocumab,Amgen,Concordances,Surseoir à la décision (2022-02-02)
2021-12-29,Trazimera (cancer du sein précoce et métastatique),trastuzumab,Pfizer,Inscription - Avec conditions,"Ajouter une indication reconnue à la liste des médicaments-Établissements-Médicament d'exception (2023-03-01)
Surseoir à la décision (2022-02-02)"
2021-12-29,TwoCal HN (toutes les indications),Formule nutritive - polymérique restreinte en résidus,Abbott,Maintien de l'inscription,Maintenir l'inscription (2022-02-02)
2021-12-29,Waymade-Trientine (maladie de Wilson),trientine (chlorhydrate de),Waymade PLC,Inscription - Avec conditions,"Inscrire aux listes des médicaments - médicament d'exception (2022-12-14)
Surseoir à la décision (2022-02-02)"
2021-12-15,ACH-Dimethyl Fumarate,diméthyle (fumarate de),Accord,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2021-12-15,AG-Famotidine,famotidine,Angita,Inscription,Inscrire aux listes des médicaments
2021-12-15,Apo-Bromazepam,bromazépam,Apotex,Inscription,Inscrire aux listes des médicaments
2021-12-15,Apo-Dimethyl Fumarate,diméthyle (fumarate de),Apotex,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2021-12-15,Comprimés de drospirénone et d'éthinylestradiol,éthinylestradiol/drospirenone,Glenmark,Inscription,Inscrire aux listes des médicaments
2021-12-15,Haloette,éthinylestradiol/étonogestrel,Search Pharm,Inscription,Inscrire aux listes des médicaments
2021-12-15,Jamp Dimethyl Fumarate,diméthyle (fumarate de),Jamp,Inscription - Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-12-15,Jamp Famotidine,famotidine,Jamp,Inscription,Inscrire aux listes des médicaments
2021-12-15,Jamp Pirfenidone,pirfénidone,Jamp,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-12-15,Lacosamide,lacosamide,Sanis,Inscription - Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-12-15,Lidodan Visqueuse,lidocaïne (chlorhydrate de),Odan,Inscription -Avec conditions,Surseoir à la décision
2021-12-15,Mar-Dimethyl Fumarate,diméthyle (fumarate de),Marcan,Inscription - Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-12-15,Mint-Tenofovir,ténofovir disoproxil (fumarate de),Mint,Inscription,Inscrire aux listes des médicaments
2021-12-15,pms-Dimethyl Fumarate,diméthyle (fumarate de),Phmscience,Inscription - Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-12-15,pmsc-Atorvastatin,atorvastatine calcique,Phmscience,Inscription,Inscrire aux listes des médicaments
2021-12-15,Sandoz Dimethyl Fumarate,diméthyle (fumarate de),Sandoz,Inscription - Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-12-15,Taro-Cefprozil,cefprozil,Sun Pharma,Inscription,Inscrire aux listes des médicaments
2021-12-15,Teva-Bromazepam,bromazépam,Teva Can,Inscription -Avec conditions,Inscrire aux listes des médicaments
2021-12-15,Voriconazole pour injection,voriconazole,Jamp,Inscription - Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-12-07,Inrebic (splénomégalie associée à la MF),fedratinib,Celgene,Inscription - Avec conditions,"Inscrire aux listes des médicaments - Médicament d'exception (2022-05-26)
Surseoir à la décision (2021-12-15)"
2021-11-30,Breztri Aérosphère (MPOC),formotérol dihydraté (fumarate de)/ budésonide/glycopyrronium (bromure de),AZC,Inscription - Avec conditions,"Inscrire aux listes des médicaments - Médicament d'exception (2022-08-17)
Surseoir à la décision (2021-12-15)"
2021-11-30,Dupixent (dermatite atopique 12 ans et plus),dupilumab,SanofiAven,Concordances,Surseoir à la décision (2021-12-15)
2021-11-30,Dupixent (dermatite atopique 6 à 11 ans),dupilumab,SanofiAven,Inscription - Avec conditions,Surseoir à la décision (2021-12-15)
2021-11-30,Givlaari (porphyrie hépatique aiguë),givosiran,Alnylam,Inscription - Avec conditions,"Inscrire aux listes des médicaments-Médicament d'exception (2023-05-25)
Surseoir à la décision (2021-12-15)"
2021-11-30,Onureg (leucémie myéloïde aigüe),azacitidine,B.M.S.,Inscription - Avec conditions,"Inscrire aux listes des médicaments - Médicament d'exception (2022-07-06)
Surseoir à la décision (2021-12-15)"
2021-11-30,Trelegy Ellipta (MPOC),fluticasone (furoate de)/uméclidinium (bromure d')/vilantérol (trifénatate de),GSK,Concordances,"Modifier une indication reconnue aux listes des médicaments- Médicament d'exception (2022-08-17)
Surseoir à la décision (2021-12-15)"
2021-11-30,Xolair (urticaire chronique idiopathique),omalizumab,Novartis,Inscription - Avec conditions,"Inscrire aux listes des médicaments-Médicament d'exception (2023-09-27)
Surseoir à la décision (2021-12-15)"
2021-11-10,AG-Amlodipine,amlodipine (bésylate d'),Angita,Inscription,Inscrire aux listes des médicaments
2021-11-10,AG-Citalopram,citalopram (bromhydrate de),Angita,Inscription,Inscrire aux listes des médicaments
2021-11-10,AG-Rizatriptan ODT,rizatriptan (benzoate de),Angita,Inscription,Inscrire aux listes des médicaments
2021-11-10,Apo-Lenalidomide,lénalidomide,Apotex,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-11-10,Citrate de fentanyl injectable,fentanyl (citrate de),Fresenius,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-11-10,Clarithromycin,clarithromycine,Sanis,Inscription,Inscrire aux listes des médicaments
2021-11-10,Ertapénem pour injection,ertapénem sodique,Fresenius,Inscription,Inscrire aux listes des médicaments
2021-11-10,Jamp Lamivudine HBV,lamivudine,Jamp,Inscription,Inscrire aux listes des médicaments
2021-11-10,LactoMax Ultra,lactase,Sterimax,Inscription,Inscrire aux listes des médicaments
2021-11-10,Mar-Pantoprazole,pantoprazole (magnésien ou sodique),Marcan,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-11-10,Mar-Paroxetine,paroxétine (chlorhydrate de),Marcan,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-11-10,Mar-Ramipril,ramipril,Marcan,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-11-10,Mar-Risperidone,rispéridone,Marcan,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-11-10,Mar-Sertraline,sertraline (chlorhydrate de),Marcan,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-11-10,NAT-Lenalidomide,lénalidomide,Natco,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-11-10,NRA-Pregabalin,prégabaline,Nora,Inscription,Inscrire aux listes des médicaments
2021-11-10,Odan-Tropicamide,tropicamide,Odan,Inscription,Inscrire aux listes des médicaments
2021-11-10,Reddy-Lenalidomide,lénalidomide,Dr Reddy's,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-11-10,Riva-Efavirenz/Emtricitabine/Tenofovir,efavirenz/ emtricitabine/ ténofovir disoproxil (fumarate de),Riva,Inscription,Inscrire aux listes des médicaments
2021-11-10,Sandoz Lenalidomide,lénalidomide,Sandoz,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-11-10,Tenofovir,ténofovir disoproxil (fumarate de),Sanis,Inscription,Inscrire aux listes des médicaments
2021-11-09,Adcetris (LH réfractaire récidivant),brentuximab védotine,Seagen,Concordances,Surseoir à la décision (2021-11-10)
2021-11-09,Cetrotide (PMA),cétrorélix,Merck,Transférer à la section régulière des listes des médicaments,Transférer à la section régulière des listes des médicaments (2021-11-10)
2021-11-09,Clomifène (citrate de) (PMA),Clomifène (citrate de),n/a,Inscrire à la liste des médicaments du RGAM,Inscrire à la liste des médicaments du RGAM  (2021-11-10)
2021-11-09,Crinone (PMA),progestérone,Serono,Modification d'une indication reconnue,Modification d'une indication reconnue
2021-11-09,Endometrin (PMA),progestérone,Ferring,Modifier l'indication reconnue,Modifier l'indication reconnue (2021-11-10)
2021-11-09,Gonal-f (PMA),choriogonadotropine alpha,Serono,Modifier l'indication reconnue,Modifier l'indication reconnue (2021-11-10)
2021-11-09,Menopur (PMA),Gonadotrophines,Ferring,Modifier l'indication reconnue,Modifier l'indication reconnue
2021-11-09,Orgalutran (PMA),ganirelix,Merck,Transférer à la section régulière des listes des médicaments,Transférer à la section régulière des listes des médicaments (2021-11-10)
2021-11-09,Ovidrel (PMA),choriogonadotropine alpha,Serono,Modifier l'indication reconnue,Modifier l'indication reconnue (2021-11-10)
2021-11-09,Pregnyl et version générique (PMA),Gonadotrophine chorionique,Merck et Fresenius,Modifier l'indication reconnue,Modifier l'indication reconnue (2021-11-10)
2021-11-09,Puregon (PMA),follitropine bêta,Merck,Modifier l'indication reconnue,Modifier l'indication reconnue (2021-11-10)
2021-11-03,Dupixent Stylo (dermatite atopique 12 ans ou plus),dupilumab,SanofiAven,Inscription - Avec conditions,"Inscrire aux listes des médicaments - Médicament d'exception (2022-11-09)
Surseoir à la décision (2021-11-10)"
2021-11-03,Keytruda (LH refractaire récidivant),pembrolizumab,Merck,Inscription - Avec conditions,"Ajouter une indication reconnue à la listes des médicaments-Établissements-Médicament d'exception (2021-12-15)
Surseoir à la décision (2021-11-10)"
2021-11-03,Quinsair (infections respiratoires-fibrose kystique),lévofloxacine,Horizon,Modification d'une indication reconnue-Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception (2021-11-10)
2021-11-03,Trurapi et Trurapi SoloStar (diabète),insuline aspart,SanofiAven,Inscription,"Inscrire aux listes des médicaments (2021-12-15)
Surseoir à la décision (2021-11-10)"
2021-11-03,Xeomin (sialorrhée),incobotulinumtoxin A,Merz,Inscription - Avec conditions,Surseoir à la décision (2021-11-10)
2021-10-08,"Herzuma (cancer sein précoce, cancer sein et gastrique métastatique)",trastuzumab,Teva Innov,Inscription - Avec conditions,Inscrire à la liste des médicaments-Établissement - Médicament d'exception (2021-11-10)
2021-10-08,"Kanjinti (cancer sein précoce, cancer sein et gastrique métastatique)",trastuzumab,Amgen,Inscription - Avec conditions,"Inscrire à la listes des médicaments-Établissements- Médicament d'exception (2022-02-02)
Surseoir à la décision (2021-11-10)"
2021-10-08,Ledaga (lymphome T),chlorméthine,Recordati Rare Diseases Canada,Inscription - Avec conditions,Surseoir à la décision (2021-11-10)
2021-10-08,Reblozyl (anémie-syndrome myélodysplasique),luspatercept,B.M.S.,Inscription - Avec conditions,"Inscrire aux listes des médicaments - Médicament d'exception (2022-11-09)
Surseoir à la décision (2021-11-10)"
2021-10-08,Tukysa (cancer du sein),tucatinib,Seagen,Inscription - Avec conditions,"Inscrire à la liste des médicaments-Établissements-Médicament d'exception (2022-11-09)
Surseoir à la décision (2021-11-10)"
2021-09-29,Auro-Indomethacin,indométhacine,Aurobindo,Inscription,Inscrire aux listes des médicaments
2021-09-29,Auro-Zolmitriptan,zolmitriptan,Aurobindo,Inscription,Inscrire aux listes des médicaments
2021-09-29,Baclofène Intrathécale,baclofène,Avir,Inscription,Inscrire aux listes des médicaments
2021-09-29,Chlorure de calcium injectable,calcium (chlorure de),Sterimax,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-09-29,Eletriptan,eletriptan (bromhydrate d'),Sanis,Inscription,Inscrire aux listes des médicaments
2021-09-29,Ganciclovir pour injection,ganciclovir sodique,Sterimax,Inscription,Inscrire aux listes des médicaments
2021-09-29,Mar-Metoclopramide,métoclopramide (chlorhydrate de),Marcan,Inscription,Inscrire aux listes des médicaments
2021-09-29,Mint-Letrozole,létrozole,Mint,Inscription,Inscrire aux listes des médicaments
2021-09-29,Mint-Levetiracetam,lévétiracétam,Mint,Inscription,Inscrire aux listes des médicaments
2021-09-29,Mint-Levofloxacin,lévofloxacine,Mint,Inscription,Inscrire aux listes des médicaments
2021-09-29,Perennial Monovalent,allergènes (extraits précipités à l'alun),Stallergenes,Inscription,Inscrire aux listes des médicaments
2021-09-29,Perennial Polyvalent,allergènes (extraits précipités à l'alun),Stallergenes,Inscription,Inscrire aux listes des médicaments
2021-09-29,Phenytoin Sodium Injection,phénytoïne sodique,Oméga,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-09-29,Pipéracilline et Tazobactam pour Injection,pipéracilline sodique/ tazobactam sodique,Aurobindo,Inscription,Inscrire aux listes des médicaments
2021-09-29,pms-Metoclopramide Hydrochloride Injection,métoclopramide (chlorhydrate de),Phmscience,Inscription,Inscrire aux listes des médicaments
2021-09-29,Presaisonnier Monovalent,allergènes (extraits précipités à l'alun),Stallergenes,Inscription,Inscrire aux listes des médicaments
2021-09-29,Presaisonnier Polyvalent,allergènes (extraits précipités à l'alun),Stallergenes,Inscription,Inscrire aux listes des médicaments
2021-09-29,Riva-Brimonidine,brimonidine (tartrate de),Riva,Inscription,Inscrire aux listes des médicaments
2021-09-29,Riva-D Gelcaps 1000,vitamine D,Riva,Inscription,Inscrire à la Liste des médicaments du RGAM
2021-09-29,Riva-D Gelcaps 400,vitamine D,Riva,Inscription,Inscrire à la Liste des médicaments du RGAM
2021-09-29,Sandoz Montelukast,montélukast sodique,Sandoz,Inscription,Inscrire aux listes des médicaments
2021-09-29,Vidaza et versions génériques (leucémie myéloïde aiguë),Azacitidine,"Dr Reddy's, Natco et Celgene",Concordances,"Transfert à la section régulière de la Liste des médicaments-Établissements (2022-02-02)
Surseoir à la décision (2021-09-29)"
2021-09-08,Remsima SC (polyarthrite rhumatoïde),infliximab,Celltrion,Inscription - Avec conditions,"Inscrire sur les Listes des médicaments (2025-02-05)
Surseoir à la décision (2021-09-29)"
2021-09-01,Abecma (myélome multiple),idécabtagene vicleucel,Celgene,Refus d'inscription,Surseoir à la décision (2021-09-29)
2021-09-01,Ilumya (psoriasis plaques),tildrakizumab,Sun Pharma,Refus d'inscription,Ne pas inscrire aux listes des médicaments (2021-09-29)
2021-09-01,Kymriah et Yescarta (lymphome grandes cellules B),tisagenlecleucel et axicabtagène ciloleucel,n/a,Modification d'une indication reconnue,Modifier une indication reconnue à la Liste des médicaments - Établissements (2021-09-29)
2021-09-01,Rinvoq (arthrite psoriasique),upadacitinib,AbbVie,Inscription - Avec conditions,"Inscrire aux listes des médicaments - Médicament d'exception (2022-09-28)
Surseoir à la décision (2021-09-29)"
2021-09-01,Trikafta (fibrose kystique),élexacaftor/tézacaftor/ ivacaftor et ivacaftor,Vertex,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception (2021-09-29)
2021-09-01,Venclexta et azacitidine (leucémie myéloïde aigüe),vénétoclax,AbbVie,Inscription - Avec conditions,"Ajouter une indication reconnue à la listes des médicaments-Établissements-Médicament d'exception (2022-02-02)
Surseoir à la décision (2021-09-29)"
2021-09-01,Venclexta et cytarabine (leucémie myéloïde aigüe),vénétoclax,AbbVie,Refus d'inscription,Ne pas inscrire à la Liste des médicaments - Établissements (2021-09-29)
2021-09-01,Vyxeos (leucémie myéloïde aigüe),daunorubicine et cytarabine,Jazz,Inscription - Avec conditions,"Inscrire à la liste des médicaments- Établissements- Médicament d'exception (2022-05-26)
Surseoir à la décision (2021-09-29)"
2021-08-18,ACH-Lacosamide,lacosamide,Accord,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 -Médicament d'exception"
2021-08-18,ACH-Pregabalin,prégabaline,Accord,Inscription,Inscrire aux listes des médicaments
2021-08-18,AG-Calcium Citrate Liquid D 1000,calcium (citrate de)/ vitamine D,Angita,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 -Médicament d'exception"
2021-08-18,AG-Calcium D 1000 Croq.,calcium (carbonate de)/ vitamine D,Angita,Inscription,Inscrire aux listes des médicaments
2021-08-18,AG-K20,potassium (chlorure de),Angita,Inscription,Inscrire aux listes des médicaments
2021-08-18,AG-K8,potassium (chlorure de),Angita,Inscription,Inscrire aux listes des médicaments
2021-08-18,AG-Vitamin B12 ER,cyanocobalamine,Angita,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 -Médicament d'exception"
2021-08-18,AG-Vitamine B1,thiamine (chlorhydrate de),Angita,Inscription,Inscrire aux listes des médicaments
2021-08-18,Apo-Quetiapine Fumarate,quétiapine (fumarate de),Apotex,Inscription,Inscrire aux listes des médicaments
2021-08-18,Bio-ASA,acétylsalicylique (acide),Biomed,Inscription,Inscrire aux listes des médicaments
2021-08-18,Bio-Cal-D3+,calcium (carbonate de)/ vitamine D,Biomed,Inscription,Inscrire aux listes des médicaments
2021-08-18,Chlorhydrate de bendamustine pour injection,bendamustine (chlorhydrate de),Jamp,Inscription - Avec conditions,"Inscrire à la Liste des médicaments 
– Établissements - Médicament d'exception"
2021-08-18,Chlorhydrate de labétalol injectable,labetalol (chlorhydrate de),Sterimax,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-08-18,Chlorhydrate de phényléphrine injectable,phényléphrine (chlorhydrate de),Sterimax,Inscription,"Inscrire à la Liste des médicaments 
– Établissements"
2021-08-18,Glycopyrrolate injection,glycopyrrolate,Sterimax,Inscription,Inscrire aux listes des médicaments
2021-08-18,Hanzema,alitrétinoïne,Dr Reddy's,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 -Médicament d'exception"
2021-08-18,Jamp Pirfenidone,pirfénidone,Jamp,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 -Médicament d'exception"
2021-08-18,Jamp Prasugrel,prasugrel,Jamp,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 -Médicament d'exception"
2021-08-18,Monovalent,allergènes (extraits aqueux glycerinés normalisés d'),Stallergenes,Inscription,Inscrire aux listes des médicaments
2021-08-18,Méropénem pour injection,meropenem,Sterimax,Inscription,Inscrire aux listes des médicaments
2021-08-18,Odan-Cyclopentolate,cyclopentolate (chlorhydrate de),Odan,Inscription,Inscrire aux listes des médicaments
2021-08-18,Olmesartan HCTZ,olmésartan médoxomil/hydrochlorothiazide,Sanis,Inscription,Inscrire aux listes des médicaments
2021-08-18,Polyvalent,allergènes (extraits aqueux glycerinés normalisés d'),Stallergenes,Inscription,Inscrire aux listes des médicaments
2021-08-18,Ran-Meropenem,meropenem,Ranbaxy,Inscription,Inscrire aux listes des médicaments
2021-08-18,Reddy-Dasatinib,dasatinib,Dr Reddy's,Inscription - Avec conditions,"Inscrire aux listes des médicaments
 - Médicament d'exception"
2021-08-18,Riva-Tenofovir,ténofovir disoproxil (fumarate de),Riva,Inscription,Inscrire aux listes des médicaments
2021-08-18,Sandoz Pirfenidone,pirfénidone,Sandoz,Inscription -Avec conditions,"Inscrire aux listes des médicaments
 -Médicament d'exception"
2021-08-18,Spinraza (amyotrophie spinale),Nursinersen,Biogen,Concordances,"Modifier une indication reconnue à la listes des médicaments-Établissements- Médicament d'exception (2022-02-02)
Surseoir à la décision (2021-08-18)"
