Drug Name,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
Large B cell lymphomaOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2024/PH0040%20LBCL.pdf'],Large B cell lymphoma,,Complete,,09-Apr-24,PH0040-000
teclistamabOpens in new tab,Tecvayli,teclistamab,"['https://cadth.ca/sites/default/files/DRR/2024/PC0332%20Tecvayli%20-%20Final_Rec.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0332-Tecvayli-Combined-Report-meta.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0332-Tecvayli-Stakeholder-Feedback.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0332%20Tecvayli%20-%20Patient%20and%20Clinican%20input.pdf']",Relapsed or refractory multiple myeloma,Reimburse with clinical criteria and/or conditions,Complete,31-Aug-23,08-Apr-24,PC0332-000
Prostate CancerOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2024/PH0039-Prostate-Cancer-Rapid-Algorithm-Report.pdf'],Prostate Cancer,,Completed,,28-Mar-24,PH0039-000
Chronic Lymphocytic LeukemiaOpens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2024/PH0038-Chronic%20Lymphocytic%20Leukemia_Rapid%20Algorithm%20Report_final.pdf'],Chronic Lymphocytic Leukemia,,Complete,,21-Mar-24,PH0038-000
drospirenoneOpens in new tab,Slynd,drospirenone,"['https://cadth.ca/sites/default/files/DRR/2024/SR0806REC-Slynd.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0806-Slynd-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0806-Slynd-Stakeholder-Feedback.pdf']","Contraceptive, oral",Reimburse with clinical criteria and/or conditions,Complete,14-Aug-23,18-Mar-24,SR0806-000
ravulizumabOpens in new tab,Ultomiris,ravulizumab,"['https://www.cadth.ca/sites/default/files/DRR/2024/SR0785%20Ultomiris%20NMOSD%20-%20Confidential%20Final%20CADTH%20Rec.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0785%20Ultomiris%20NMOSD%20-%20Patient%20and%20Clinician%20Group.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0785_Combined_Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0785_Stakeholder_Feedback.pdf']",Neuromyelitis optica spectrum disorder (NMOSD),Reimburse with clinical criteria and/or conditions,Complete,29-Aug-23,13-Mar-24,SR0785-000
inebilizumabOpens in new tab,Uplizna,inebilizumab,"['https://cadth.ca/sites/default/files/DRR/2024/SR0793_Uplizna-Final_Rec.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0793%20Uplizna%20-%20Patient%20and%20Clinician%20Input%20(with%20Redactions).pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0793-Uplizna-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0793-Uplizna-Stakeholder-Feedback.pdf']",Neuromyelitis optica spectrum disorders (NMOSD),Reimburse with clinical criteria and/or conditions,Complete,18-Aug-23,13-Mar-24,SR0793-000
trifluridine and tipiracilOpens in new tab,Lonsurf,trifluridine and tipiracil,"['https://www.cadth.ca/sites/default/files/DRR/2024/PC0330%20Lonsurf%20-%20Confidential%20CADTH%20Final%20Rec.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0330_Combined_Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0330_Stakeholder_Feedback.pdf']",Metastatic colorectal cancer,Reimburse with clinical criteria and/or conditions,Complete,15-Aug-23,29-Feb-24,PC0330-000
sotorasibOpens in new tab,Lumakras,sotorasib,"['https://www.cadth.ca/sites/default/files/DRR/2024/PC0300%20Lumakras%20-%20CADTH%20Final%20Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0300%20Lumakras%20-%20Patient%20and%20Clinician%20Input.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0300-Lumakras-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0300-Lumakras-Stakeholder-Feedback.pdf']",KRAS G12C-mutated advanced NSCLC,Do not reimburse,Complete,19-Aug-22,29-Feb-24,PC0300-000
treosulfanOpens in new tab,Trecondyv,treosulfan,"['https://www.cadth.ca/sites/default/files/DRR/2024/PC0324REC-Trecondyv.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0324-Trecondyv-Combined-Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0324-Trecondyv-Stakeholder-Feedback.pdf']",Conditioning treatment prior to stem cell transplantation for acute myeloid leukemia (AML) or myelodysplastic syndromes (MDS),Reimburse with clinical criteria and/or conditions,Complete,14-Jul-23,28-Feb-24,PC0324-000
Renal cell carcinomaOpens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2024/PH0037-Renal-Cell-Carcinoma.pdf'],Renal cell carcinoma,,Complete,,21-Feb-24,PH0037-000
fidanacogene elaparvovecOpens in new tab,Beqvez,fidanacogene elaparvovec,"['https://www.cadth.ca/sites/default/files/DRR/2024/SG0802%20Beqvez%20Final%20CADTH%20Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SG0802-Beqvez.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SG0802-Beqvez-Stakeholder-Feedback.pdf']",Hemophilia B,Reimburse with clinical criteria and/or conditions,Complete,01-Aug-23,16-Feb-24,SG0802-000
belumosudilOpens in new tab,Rezurock,belumosudil,"['https://www.cadth.ca/sites/default/files/DRR/2024/SR0789%20Rezurock%20-%20Confidential%20Final.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0789-Rezurock_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0789%20Rezurock%20-%20Stakeholder%20Feedback.pdf']",Graft-versus-host disease,Reimburse with clinical criteria and/or conditions,Complete,26-Jul-23,15-Feb-24,SR0789-000
odevixibatOpens in new tab,Bylvay,odevixibat,"['https://www.cadth.ca/sites/default/files/DRR/2024/SR0788%20Bylvay%20-%20Confidential%20Final%20CADTH%20Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0788-Bylvay-Combined-Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0788-Bylvay-Stakeholder-Feedback.pdf']",Progressive familial intrahepatic cholestasis (PFIC),Reimburse with clinical criteria and/or conditions,Complete,23-Jun-23,13-Feb-24,SR0788-000
nivolumab and relatlimabOpens in new tab,Opdualag,nivolumab and relatlimab,"['https://cadth.ca/sites/default/files/DRR/2024/PC0329REC-Opdaulag.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0329-Opdualag_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0329%20Opdualag%20-%20Stakeholder%20Feedback%20February%202%2C%202024.pdf']",unresectable or metastatic melanoma,Reimburse with clinical criteria and/or conditions,Complete,10-Jul-23,02-Feb-24,PC0329-000
glofitamabOpens in new tab,Columvi,glofitamab,"['https://cadth.ca/sites/default/files/DRR/2024/PC0320REC-Columvi.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0320-Columvi-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0320-Columvi-Stakeholder-Feedback.pdf']",Relapsed or refractory diffuse large B-cell lymphoma,Reimburse with clinical criteria and/or conditions,Complete,18-Jul-23,02-Feb-24,PC0320-000
sacituzumab govitecanOpens in new tab,Trodelvy,sacituzumab govitecan,"['https://cadth.ca/sites/default/files/DRR/2024/PC0323REC-Trodelvy-HR.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0323-Trodelvy%20HR%2B.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0323%20Trodelvy%20HR%2B%20-%20Stakeholder%20Feedback%20February%201%2C%202024.pdf']","HR+, HER2− advanced or metastatic breast cancer",Reimburse with clinical criteria and/or conditions,Complete,18-Jul-23,01-Feb-24,PC0323-000
niraparib abiraterone acetateOpens in new tab,Akeega,niraparib abiraterone acetate,"['https://cadth.ca/sites/default/files/DRR/2024/PC0326%20Akeega%20Final%20Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0326-Akeega-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0326-AKeega-Stakeholder-Feedback.pdf']",Metastatic castration-resistant prostate cancer (mCRPC),Reimburse with clinical criteria and/or conditions,Complete,14-Jun-23,01-Feb-24,PC0326-000
olaparibOpens in new tab,Lynparza,olaparib,"['https://cadth.ca/sites/default/files/DRR/2024/PC0319REC-Lynparza.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0319-Lynparza-PC-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0319-Lynparza-PC-Stakeholder-Feedback.pdf']",Metastatic castration-resistant prostate cancer (mCRPC),Reimburse with clinical criteria and/or conditions,Complete,19-May-23,31-Jan-24,PC0319-000
vutrisiranOpens in new tab,Amvuttra,vutrisiran,"['https://cadth.ca/sites/default/files/DRR/2024/SR0801REC-Amvuttra%20Final.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0801-Amvuttra-combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0801%20Amvuttra%20-%20Stakeholder%20Feedback.pdf']",Hereditary transthyretin mediated amyloidosis (hATTR amyloidosis),Reimburse with clinical criteria and/or conditions,Complete,04-Jul-23,29-Jan-24,SR0801-000
Unresectable Hepatocellular Ca...Opens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2024/PH0036-Hepatocellular-Carcinoma.pdf'],Unresectable Hepatocellular Carcinoma,,Complete,,24-Jan-24,PH0036-000
evinacumabOpens in new tab,Evkeeza,evinacumab,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0778%20Evkeeza%20-%20Final%20CADTH%20Recommendation%20-%20Revised%20version%20-%20KH-meta.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0778-Evkeeza-Combined-Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0778-Evkeeza-Stakeholder-Feedback.pdf']",Homozygous familial hypercholesterolemia (HoFH),Reimburse with clinical criteria and/or conditions,Complete,10-May-23,12-Jan-24,SR0778-000
eltrombopagOpens in new tab,N/A,eltrombopag,"['https://www.cadth.ca/sites/default/files/DRR/2024/SX0777/SX0777REC-Eltrombopag-for-SAA.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SX0777/SX0777-Eltrombopag-DPI-Table.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SX0777CL-Eltrombopag_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SX0777eltrombopag%20%20-%20Clinician%20and%20Patient%20Input.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SX0777%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20FOR%20POSTING.pdf']",Severe Aplastic Anemia (SAA),Reimburse with clinical criteria and/or conditions,Complete,03-Mar-23,10-Jan-24,SX0777-000
ibrutinibOpens in new tab,Imbruvica,ibrutinib,"['https://cadth.ca/sites/default/files/DRR/2024/PC0328%20Imbruvica%20WM%20-%20Final%20CADTH%20Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0328-Imbruvica-Combined-Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0328%20Imbruvica-Stakeholder-Feedback.pdf']",Waldenström’s Macroglobulinemia,Reimburse with clinical criteria and/or conditions,Complete,20-Jun-23,05-Jan-24,PC0328-000
calaspargase pegolOpens in new tab,Asparlas,calaspargase pegol,"['https://cadth.ca/sites/default/files/DRR/2024/PC0321REC-Asparlas.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0321-Asparlas-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0321-Asparlas-Stakeholder-Feedback.pdf']",Acute lymphoblastic leukemia (ALL),Reimburse with clinical criteria and/or conditions,Complete,12-May-23,04-Jan-24,PC0321-000
bevacizumab and lomustineOpens in new tab,N/A,bevacizumab and lomustine,"['https://www.cadth.ca/sites/default/files/DRR/2023/PX0318/PX318-FMEC-REC.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0318/PX0318-FMEC-DPI-Table.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0318/PX0318CL-Bevacizumab-and-Lomustine.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0318/PX0318-Stakeholder-Input-Clinicians.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0318/PX0318-Stakeholder-Input-Industry.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PX0318%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20FOR%20POSTING.pdf']",Recurrent glioblastoma multiform,Reimburse with clinical criteria and/or conditions,Complete,17-Feb-23,20-Dec-23,PX0318-000
polatuzumab vedotinOpens in new tab,Polivy,polatuzumab vedotin,"['https://cadth.ca/sites/default/files/DRR/2024/PC0313%20Polivy%20-%20CADTH%20Final%20Rec.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0313-Polivy.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0313%20Polivy%20-%20Stakeholder%20Feedback.pdf']",Large B-cell lymphoma,Do not reimburse,Complete,01-Mar-23,20-Dec-23,PC0313-000
upadacitinibOpens in new tab,Rinvoq,upadacitinib,"[""https://www.cadth.ca/sites/default/files/DRR/2024/SR0775REC-Rinvoq-(Crohn's)-meta.pdf"", 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0775-Rinvoq-Crohn-Combined-Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0775-Rinvoq-Crohn-Stakeholder-Feedback.pdf']",Crohns disease,Reimburse with clinical criteria and/or conditions,Complete,05-Jun-23,14-Dec-23,SR0775-000
efgartigimod alfaOpens in new tab,Vyvgart,efgartigimod alfa,"['https://www.cadth.ca/sites/default/files/DRR/2024/SR0782REC-Vyvgart-meta.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0782-Vyvgart.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0782%20Vyvgart%20-%20Stakeholder%20Feedback%20December%2014%2C%202023.pdf']",Generalized myasthenia gravis (gMG),Reimburse with clinical criteria and/or conditions,Complete,09-May-23,14-Dec-23,SR0782-000
HR+ HER2- Breast Cancer and Tr...Opens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2023/PH0033-HRplus-HER2-BC-and-TNBC-with-HER2-Low-Inclusion.pdf'],"HR+ HER2- Breast Cancer and Triple Negative Breast Cancer, with inclusion of HER2 Low Breast Cancer",,Complete,,07-Dec-23,PH0033-000
andexanet alfaOpens in new tab,Ondexxya,andexanet alfa,"['https://cadth.ca/sites/default/files/DRR/2023/ST0772%20Ondexxya%20-%20Confidential%20Final%20CADTH%20Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/ST0772-Ondexxya-Combined-Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/ST0772-Ondexxya-Stakeholder-Feedback.pdf']",Reversal of FXa inhibitor anticoagulant effects,Do not reimburse,Complete,02-Mar-23,05-Dec-23,ST0772-000
NSCLC without actionable oncog...Opens in new tab,,,['https://www.cadth.ca/sites/default/files/pdf/PH0015%20Rapid%20Algorithm%20Report%20for%20NSCLC%20without%20actionable%20oncogenic%20alterations_%20Final%20Report%20for%20CAPCA%20Endorsement.pdf'],Non-Small Cell Lung Cancer,,Completed,,01-Dec-23,PH0015-000
elexacaftor/tezacaftor/ivacaft...Opens in new tab,Trikafta,elexacaftor/tezacaftor/ivacaftor and ivacaftor,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0776%20Trikafta%20-%20Final%20CADTH%20Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0776-Trikafta-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0776-Trikafta-Stakeholder-Feedback.pdf']","Cystic fibrosis, F508del CFTR mutation, 2 years and older",Reimburse with clinical criteria and/or conditions,Complete,10-May-23,24-Nov-23,SR0776-000
somapacitanOpens in new tab,Sogroya,somapacitan,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0779REC-Sogroya-meta.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0779-Sogroya-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0779-Sogroya-Stakeholder-Feedback.pdf']",Growth Hormone Deficiency (GHD),Reimburse with clinical criteria and/or conditions,Complete,27-Apr-23,17-Nov-23,SR0779-000
mirikizumabOpens in new tab,Omvoh,mirikizumab,"['https://www.cda-amc.ca/sites/default/files/DRR/2023/SR0773REC-Omvoh.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0773-Omvoh-Combined-Report.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0773-Omvoh-Stakeholder-Feedback.pdf']",Ulcerative colitis,Reimburse with clinical criteria and/or conditions,Complete,07-Mar-23,16-Nov-23,SR0773-000
cabozantinibOpens in new tab,Cabometyx,cabozantinib,"['https://www.cadth.ca/sites/default/files/DRR/2023/PC0312%20Cabometyx%20-%20Final%20CADTH%20Revised.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0312-Cabometyx-RCC-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0312-Cabometyx-RCC-Stakeholder-Feedback.pdf']",Advanced or metastatic renal cell carcinoma,Reimburse with clinical criteria and/or conditions,Complete,17-Feb-23,03-Nov-23,PC0312-000
durvalumab and tremelimumabOpens in new tab,Imfinzi and Imjudo,durvalumab and tremelimumab,"['https://cda-amc.ca/sites/default/files/DRR/2023/PC0308%20Imjudo%20and%20Imfinzi%20-%20Final%20CADTH%20Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2023/PC0308-Imfinzi-and-Imjudo-Combined-Report.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2023/PC0308-Imfinzi-and-Imjudo-Stakeholder-Feedback.pdf']",unresectable hepatocellular carcinoma,Reimburse with clinical criteria and/or conditions,Complete,15-Dec-22,03-Nov-23,PC0308-000
ibrutinibOpens in new tab,Imbruvica,ibrutinib,"['https://cda-amc.ca/sites/default/files/DRR/2023/PC0317REC-Imbruvica-Final-Recommendation-meta.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0317-Imbruvica_combined.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0317%20Imbruvica%20Stakeholder%20Feedback.pdf']",Chronic lymphocytic leukemia (CLL),Reimburse with clinical criteria and/or conditions,Complete,21-Apr-23,02-Nov-23,PC0317-000
rivaroxabanOpens in new tab,N/A,rivaroxaban,"['https://www.cadth.ca/sites/default/files/DRR/2023/SX0750/SX0750-Rivaroxaban_final.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SX0750/SX0750-DPI-Table.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SX0750/SR0750CL-Rivaroxaban-rev-njcover.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0750%20Stakeholder%20Input%20FOR%20POSTING.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0750%20Stakeholder%20Feedback%20on%20Draft%20Recommendations%20FOR%20POSTING.pdf']",Venous thromboembolic events (VTE),Reimburse with clinical criteria and/or conditions,Complete,29-Jun-22,02-Nov-23,SX0750-000 - SR0750-000
axicabtagene ciloleucelOpens in new tab,Yescarta,axicabtagene ciloleucel,"['https://cadth.ca/sites/default/files/DRR/2023/PG0314%20Yescarta%20-%20Final%20CADTH%20Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PG0314-Yescarta.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PG0314%20Yescarta%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20November%202%2C%202023.pdf']",Relapsed or refractory follicular lymphoma,Reimburse with clinical criteria and/or conditions,Complete,13-Apr-23,02-Nov-23,PG0314-000
Prostate CancerOpens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2023/PH0034%20Rapid%20Algorithm%20Report%20Prostate%20Cancer_final.pdf'],Prostate Cancer,,Complete,,27-Oct-23,PH0034-000
Chronic Lymphocytic LeukemiaOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2023/PH0035-Rapid-Algorithm-Report-for-CLL3.pdf'],Chronic Lymphocytic Leukemia,,Complete,,27-Oct-23,PH0035-000
setmelanotideOpens in new tab,Imcivree,setmelanotide,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0769%20Imcivree%20%E2%80%93%20CADTH%20Final%20Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0769-Imcivree-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0769-Imcivree-Stakeholder-Feedback.pdf']",Bardet-Biedl syndrome,Reimburse with clinical criteria and/or conditions,Complete,07-Mar-23,16-Oct-23,SR0769-000
dupilumabOpens in new tab,Dupixent,dupilumab,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0774%20Dupixent%20Peds%20%E2%80%93%20CADTH%20Final%20Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0774-Dupixent-Peds.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0774%20Dupixent%20Peds%20-%20Stakeholder%20Feedback%20October%2013%2C%202023.pdf']","Atopic dermatitis, pediatrics",Reimburse with clinical criteria and/or conditions,Complete,29-Mar-23,13-Oct-23,SR0774-000
nelarabineOpens in new tab,Atriance,nelarabine,"['https://www.cadth.ca/sites/default/files/DRR/2023/PC0307%20Atriance%20-%20Final%20CADTH%20Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0307-Atriance-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0307-Atriance-Stakeholder-Feedback.pdf']",T-cell acute lymphoblastic leukemia,Reimburse with clinical criteria and/or conditions,Complete,06-Mar-23,29-Sep-23,PC0307-000
abiraterone acetate and predni...Opens in new tab,n/a,abiraterone acetate and prednisolone,"['https://www.cadth.ca/sites/default/files/DRR/2023/PX0291/Recommendation%20and%20Reasons.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0291/Stakeholder Input.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0291/Stakeholder Feedback on Draft Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0291/Responses to Questions From the Drug Programs.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0291/Clinical and Pharmacoeconomic Combined Report.pdf']",High-risk non-metastatic prostate cancer,Reimburse with clinical criteria and/or conditions,Complete,23-Mar-22,08-Sep-23,PX0291-000 - PC0291-000
"abiraterone, prednisone, docet...Opens in new tab",N/A,"abiraterone, prednisone, docetaxel","['https://www.cadth.ca/sites/default/files/DRR/2023/PX0298/Recommendation%20and%20Reasons.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0298/Responses to Questions From the Drug Programs.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0298/Clinical and Pharmacoeconomic Combined Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0298/Stakeholder Input.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PX0298/Stakeholder Feedback on Draft Recommendation.pdf']",Metastatic castration sensitive prostate cancer (mCSPC),Reimburse,Complete,13-Jun-22,08-Sep-23,PX0298-000 - PC0298-000
upadacitinibOpens in new tab,Rinvoq,upadacitinib,"['https://cadth.ca/sites/default/files/DRR/2023/SR0730%20Rinvoq%20UC%20-%20Final%20CADTH%20Recommendation%20Final-meta.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0730-Rinvoq-UC-Combined-Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0730Rinvoq-Stakeholder-Feedback.pdf']",Ulcerative colitis,Reimburse with clinical criteria and/or conditions,Complete,18-Apr-22,01-Sep-23,SR0730-000
tisagenlecleucelOpens in new tab,Kymriah,tisagenlecleucel,"['https://www.cadth.ca/sites/default/files/DRR/2023/PG0306%20Kymriah%20-%20Final%20CADTH%20Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PG0306-Kymriah_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PG0306%20Kymriah%20-%20Stakeholder%20Feedback.pdf']",Relapsed or refractory follicular lymphoma,Reimburse with clinical criteria and/or conditions,Complete,01-Feb-23,01-Sep-23,PG0306-000
zanubrutinibOpens in new tab,Brukinsa,zanubrutinib,"['https://www.cadth.ca/sites/default/files/DRR/2023/PC0310REC-Brukinsa_KT%20-%20MFJ_KT-meta.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0310-Brukinsa_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0310%20Brukinsa%20-%20Stakeholder%20Feedback%20September%201%2C%202023.pdf']",Chronic lymphocytic leukemia /small lymphocytic lymphoma.,Reimburse with clinical criteria and/or conditions,Complete,20-Jan-23,01-Sep-23,PC0310-000
belzutifanOpens in new tab,Welireg,belzutifan,"['https://cadth.ca/sites/default/files/DRR/2023/PC0309%20Welireg%20-%20CADTH%20Final%20Recommendation%20Final.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0309-Welireg-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0309-Welireg-Stakeholder-Feedback.pdf']",von Hippel-Lindau disease-associated tumours,Reimburse with clinical criteria and/or conditions,Complete,23-Jan-23,01-Sep-23,PC0309-000
cenobamateOpens in new tab,Xcopri,cenobamate,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0770%20Xcopri%20-%20Final%20CADTH%20Recommendation%20Final.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0770-Xcopri.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0770-Xcopri%20-Stakeholder-Feedback.pdf']","Epilepsy, partial-onset seizures",Reimburse with clinical criteria and/or conditions,Complete,07-Feb-23,29-Aug-23,SR0770-000
dapagliflozinOpens in new tab,N/A,dapagliflozin,"['https://www.cadth.ca/sites/default/files/DRR/2023/SX0749/Recommendation%20and%20Reasons.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SX0749/Responses%20to%20Questions%20From%20the%20Drug%20Programs.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SX0749/Clinical%20and%20Pharmacoeconomic%20Combined%20Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SX0749/Stakeholder%20Input.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SX0749/Stakeholder%20Feedback%20on%20Draft%20Recommendation.pdf']",Chronic kidney disease,Reimburse with clinical criteria and/or conditions,Complete,17-Jun-22,23-Aug-23,SX0749-000 - SR0749-000
roflumilastOpens in new tab,Zoryve,roflumilast,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0771REC-Zoryve.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0771-Zoryve-Combined-Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0771-Zoryve-Stakeholder-Feedback.pdf']",Plaque psoriasis,Reimburse with clinical criteria and/or conditions,Complete,02-Feb-23,16-Aug-23,SR0771-000
Non-Small Cell Lung Cancer wit...Opens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2023/PH0029-Algorithm_secured.pdf'],Non-Small Cell Lung Cancer without actionable oncogenic alterations,,Complete,,10-Aug-23,PH0029-000
