"Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued","Project Number",Manufacturer
Benlysta,belimumab,"Lupus nephritis","Reimburse with clinical criteria and/or conditions",Complete,"Jul 7, 2022","Jan 19, 2023",SR0746-000,"GlaxoSmithKline Inc."
Benlysta,Belimumab,"Systemic lupus erythematosus","Do not list",Complete,"Sep 19, 2011","Apr 25, 2012",SR0251-000,"GlaxoSmithKline Inc."
Benlysta,Belimumab,"systemic lupus erythematosus","Do not reimburse",Complete,"May 29, 2019","Apr 22, 2020",SR0616-000,"GlaxoSmithKline Inc."
Beovu,brolucizumab,"Macular degeneration, age-related","Reimburse with clinical criteria and/or conditions",Complete,"Sep 26, 2019","May 21, 2020",SR0632-000,"Novartis Pharmaceuticals Canada Inc."
Beovu,brolucizumab,"Diabetic macular edema","Reimburse with clinical criteria and/or conditions",Complete,"Jun 30, 2022","Jan 18, 2023",SR0747-000,"Novartis Pharmaceuticals Canada Inc."
Beqvez,"fidanacogene elaparvovec","Hemophilia B","Reimburse with clinical criteria and/or conditions",Complete,"Aug 1, 2023","Feb 16, 2024",SG0802-000,"Pfizer Canada ULC"
Bijuva,"estradiol and progesterone","Vasomotor symptoms associated with menopause","Reimburse with clinical criteria and/or conditions",Complete,"Jun 30, 2021","Feb 10, 2022",SR0697-000,"Knight Therapeutics Inc."
Biktarvy,"bictegravir/emtricitabine/tenofovir alafenamide","HIV-1 infection","Reimburse with clinical criteria and/or conditions",Complete,"Apr 30, 2018","Oct 25, 2018",SR0567-000,"Gilead Sciences Canada, Inc."
Bimzelx,bimekizumab,"Psoriatic arthritis","Reimburse with clinical criteria and/or conditions",Complete,"Oct 5, 2023","May 15, 2024",SR0803-000,"UCB Canada Inc."
Bimzelx,bimekizumab,"Hidradenitis suppurative",,Active,"Oct 18, 2024",,SR0856-000,"UCB Canada Inc."
Bimzelx,bimekizumab,"Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"Aug 17, 2021","Mar 30, 2022",SR0698-000,"UCB Canada Inc."
Bimzelx,bimekizumab,"Ankylosing spondylitis","Reimburse with clinical criteria and/or conditions",Complete,"Oct 19, 2023","May 16, 2024",SR0809-000,"UCB Canada Inc."
Blincyto,blinatumomab,"B-cell precursor acute lymphoblastic leukemia","Reimburse with clinical criteria and/or conditions",Active,"Oct 18, 2024","May 1, 2025",PC0365-000,"Amgen Canada Inc."
Botox,OnabotulinumtoxinA,Migraine,"Do not list",Complete,"Aug 15, 2013","May 28, 2014",SR0345-000,"Allergan Inc."
Botox,OnabotulinumtoxinA,"Urinary incontinence","List with criteria/condition",Complete,"Nov 25, 2013","Nov 12, 2014",SR0362-000,"Allergan Inc."
Botox,OnabotulinumtoxinA,"Neurogenic detrusor overactivity","List with clinical criteria and/or conditions",Complete,"Jan 31, 2012","Jul 19, 2012",SR0268-000,"Allergan Inc."
Botox,onabotulinumtoxinA,"Migraine, chronic","Reimburse with clinical criteria and/or conditions",Complete,"Nov 2, 2018","Oct 17, 2019",SR0584-000,"Allergan Canada Inc."
Braftovi,encorafenib,"Metastatic colorectal cancer","Reimburse with clinical criteria and/or conditions",Complete,"Dec 16, 2020","Jul 26, 2021",PC0233-000,"Pfizer Canada ULC"
"Braftovi and Mektovi","encorafenib and binimetinib","Advanced Melanoma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 16, 2020","Jul 26, 2021",PC0232-000,"Pfizer Canada ULC"
Brenzys,Etanercept,"Rheumatoid arthritis, Ankylosing spondylitis","Reimburse with clinical criteria and/or conditions",Complete,"Apr 20, 2016","Oct 25, 2016",SE0485-000,"Merck Canada Inc."
"Breo Ellipta","Fluticasone furoate /vilanterol","Chronic Obstructive Pulmonary Disease (COPD)","List with criteria/condition",Complete,"Oct 29, 2013","Aug 18, 2014",SR0358-000,GlaxoSmithKline
"Breo Ellipta","Fluticasone Furoate and Vilanterol (as trifenatate)",Asthma,"List with clinical criteria and/or conditions",Complete,"Aug 10, 2015","Feb 18, 2016",SR0442-000,"GlaxoSmithKline Inc."
"Breo Ellipta","fluticasone furoate/vilanterol",COPD,,Withdrawn,"Jun 28, 2017",,SR0524-000,"GlaxoSmithKline Inc."
"Breo Ellipta","fluticasone furoate/vilanterol",Asthma,,Withdrawn,"May 2, 2018",,SR0568-000,"GlaxoSmithKline Inc."
Breyanzi,"lisocabtagene maraleucel","Relapsed or refractory large B-cell lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"May 8, 2024","Nov 27, 2024",PG0358-000,"Bristol Myers Squibb Canada"
Breyanzi,"lisocabtagene maraleucel","Relapsed or refractory large B-cell lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Aug 9, 2021","Jun 29, 2022",PG0258-000,"Celgene Inc., a Bristol Myers Squibb company (Celgene)"
"Breztri Aerosphere","budesonide/ glycopyrronium /formoterol fumarate","chronic obstructive pulmonary disease (COPD)","Reimburse with clinical criteria and/or conditions",Complete,"Jan 28, 2021","Sep 14, 2021",SR0675-000,"AstraZeneca Canada Inc."
Brilinta,Ticagrelor,"Acute coronary syndromes","Do not list",Complete,"Jun 1, 2011","Dec 16, 2011",SR0234-000,"AstraZeneca Canada Inc"
Brilinta,Ticagrelor,"Acute Coronary Syndromes",,Cancelled,"Jun 8, 2010",,SR0203-000,"AstraZeneca Canada Inc"
Brilinta,ticagrelor,"Prevention of atherothrombotic events with history of myocardial infarction","Reimburse with clinical criteria and/or conditions",Complete,"Feb 18, 2016","Aug 25, 2016",SR0474-000,"AstraZeneca Canada Inc"
Brineura,"cerliponase alfa","Neuronal Ceroid Lipofuscinosis Type 2","Reimburse with clinical criteria and/or conditions",Complete,"Jul 31, 2018","May 23, 2019",SR0574-000,"Biomarin Pharmaceutical (Canada) Inc."
Brivlera,Brivaracetam,"Epilepsy, partial-onset seizures","Reimburse with clinical criteria and/or conditions",Complete,"Apr 19, 2016","Jan 25, 2017",SR0484-000,"UCB Canada Inc."
Brukinsa,zanubrutinib,"Waldenström’s macroglobulinemia","Reimburse with clinical criteria and/or conditions",Complete,"May 21, 2021","Dec 21, 2021",PC0248-000,"BeiGene, Ltd."
Brukinsa,zanubrutinib,"Mantle cell lymphoma (MCL)","Do not reimburse",Complete,"Sep 30, 2021","Jul 27, 2022",PC0267-000,"BeiGene Canada ULC"
Brukinsa,zanubrutinib,"Relapsed or refractory follicular lymphoma","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0037-000,"BeiGene Canada ULC"
Brukinsa,zanubrutinib,"Chronic lymphocytic leukemia /small lymphocytic lymphoma.","Reimburse with clinical criteria and/or conditions",Complete,"Jan 20, 2023","Sep 1, 2023",PC0310-000,"BeiGene Canada ULC"
BuTrans,"Buprenorphine transdermal patch","Pain, persistent (moderate intensity)",,Cancelled,"Oct 15, 2010",,SR0211-000,"Purdue Pharma"
BuTrans,"Buprenorphine transdermal patch","Pain, moderate intensity persistent pain","Do not list",Complete,"May 9, 2011","Sep 28, 2011",SR0233-000,"Purdue Pharma"
Byetta,Exenatide,"Diabetes mellitus, type 2","Do not list",Complete,"Aug 23, 2011","Jul 19, 2012",SR0246-000,"Eli Lilly Canada"
Bylvay,odevixibat,"Alagille syndrome",,Active,"Feb 28, 2025",,SR0884-000,"Medison Pharma Canada Inc."
Bylvay,odevixibat,"Progressive familial intrahepatic cholestasis (PFIC)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 23, 2023","Feb 13, 2024",SR0788-000,"Medison Pharma Canada Inc."
Bystolic,Nebivolol,Hypertension,"Do not list at the submitted price",Complete,"Feb 4, 2013","Jul 18, 2013",SR0307-000,"Forest Laboratories Canada Inc."
Cablivi,caplacizumab,"Acquired thrombotic thrombocytopenic purpura (aTTP)","Do not reimburse",Complete,"Sep 13, 2019","Aug 26, 2020",SR0633-000,"Sanofi-Genzyme, a division of sanofi-aventis Canada Inc."
Cablivi,caplacizumab,"Acquired thrombotic thrombocytopenic purpura (aTTP)","Do not reimburse",Complete,"Jun 7, 2022","Apr 5, 2023",SR0736-000,"sanofi-aventis Canada Inc."
Cabometyx,cabozantinib,"Advanced or metastatic renal cell carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Feb 17, 2023","Nov 3, 2023",PC0312-000,"Ipsen Biopharmaceuticals Canada Inc."
Cabometyx,cabozantinib,"Differentiated thyroid carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Apr 27, 2022","Nov 2, 2022",PC0287-000,"Ipsen Biopharmaceuticals Canada Inc."
Cabtreo,"clindamycin plus benzoyl peroxide and adapalene","acne vulgaris","Reimburse with clinical criteria and/or conditions",Complete,"Mar 8, 2024","Oct 18, 2024",SR0794-000,"Bausch Health, Canada Inc."
Caduet,"Amlodipine besylate/ atorvastatin calcium","Hypertension/ Dyslipidemia","List with clinical criteria and/or conditions",Complete,"Dec 15, 2005","May 17, 2006",SR0048-000,"Pfizer Canada Inc."
Calquence,Acalabrutinib,"Chronic Lymphocytic Leukemia (CLL)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 7, 2020",,PC0211-000,"AstraZeneca Canada Inc"
Calquence,acalabrutinib,"Chronic lymphocytic leukemia (CLL).",,Pending,,,PC0412-000,"AstraZeneca Canada Inc."
Calquence,Acalabrutinib,"Chronic Lymphocytic Leukemia (CLL)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 7, 2020","Nov 17, 2020",PC0211-000,"AstraZeneca Canada Inc"
Calquence,acalabrutinib,"Mantle cell lymphoma (MCL)",,Active,"Mar 26, 2025",,PC0413-000,"AstraZeneca Canada Inc."
Camcevi,"leuprolide mesylate","Prostate cancer",,Active,,,PC0370-000,"Accord Healthcare Inc."
Campral,"Acamprosate calcium","Alcohol Abstinence",N/A,Complete,"Jul 22, 2008",,SF0143-000,"Prempharm Inc."
Campral,"Acamprosate calcium","Alcohol Abstinence","List with clinical criteria and/or conditions",Complete,"Aug 29, 2007","Mar 27, 2008",SR0108-000,"Prempharm Inc."
Camzyos,mavacamten,"Obstructive hypertrophic cardiomyopathy","Reimburse with clinical criteria and/or conditions",Complete,"Sep 22, 2022","Apr 14, 2023",SR0755-000,"Bristol Myers Squibb"
Carvykti,"ciltacabtagene autoleucel","Relapsed or refractory multiple myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Sep 23, 2022","May 1, 2023",PG0302-000,"Janssen Inc."
Carvykti,"ciltacabtagene autoleucel","Relapsed or refractory multiple myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Apr 18, 2024","Nov 1, 2024",PG0361-000,"Janssen Inc."
Casgevy,"exagamglogene autotemcel","Transfusion-dependent β-thalassemia","Reimburse with clinical criteria and/or conditions",Active,"May 27, 2024","Dec 11, 2024",SG0831-000,"Vertex Pharmaceuticals (Canada) Incorporated"
Casgevy,"exagamglogene autotemcel","Sickle cell disease (SCD)","Reimburse with clinical criteria and/or conditions",Complete,"May 27, 2024","Dec 11, 2024",SG0830-000,"Vertex Pharmaceuticals (Canada) Incorporated"
Cayston,"Aztreonam for inhalation solution","Cystic fibrosis, chronic pulmonary pseudomonas aeruginosa infections","List with clinical criteria and/or conditions",Complete,"Dec 2, 2010","Jul 18, 2011",SR0220-000,"Gilead Sciences Canada Inc."
Celsentri,Maraviroc,HIV,,Withdrawn,"Nov 2, 2007",,SR0113-000,"Pfizer Canada Inc."
Celsentri,Maraviroc,HIV,"List with clinical criteria and/or conditions",Complete,"May 7, 2008","Nov 12, 2008",SR0136-000,"Pfizer Canada Inc."
Celsentri,Maraviroc,"HIV infection","Do not list",Complete,"Dec 8, 2010","Jul 18, 2011",SR0221-000,GlaxoSmithKline
Cerdelga,Eliglustat,"Gaucher disease","Reimburse with clinical criteria and/or conditions",Complete,"Jan 20, 2017","Jul 26, 2017",SR0511-000,"Sanofi Genzyme"
Champix,"Varenicline tartrate",Smoking-cessation,"List with clinical criteria and/or conditions",Complete,"Mar 21, 2007","Aug 16, 2007",SR0094-000,"Pfizer Canada Inc."
Cibinqo,abrocitinib,"Atopic dermatitis, moderate to severe","Reimburse with clinical criteria and/or conditions",Complete,"Apr 26, 2021","Aug 19, 2022",SR0686-000,"Pfizer Canada ULC"
Cimzia,"Certolizumab pegol","Arthritis, psoriatic","List with criteria/condition",Complete,"Sep 2, 2014","Apr 17, 2015",SR0394-000,"UCB Canada Inc."
Cimzia,"Certolizumab pegol","Arthritis, rheumatoid","Do not list",Complete,"Sep 3, 2009","May 27, 2010",SR0175-000,"UCB Pharma Canada Inc."
Cimzia,"certolizumab pegol","Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"May 13, 2019","Nov 20, 2019",SR0587-000,"UCB Canada Inc."
Cimzia,"Certolizumab pegol","Ankylosing spondylitis","List with criteria/condition",Complete,"Jun 23, 2014","Apr 17, 2015",SR0385-000,"UCB Canada Inc."
Cinqair,Reslizumab,"Asthma, eosinophilic","Reimburse with clinical criteria and/or conditions",Complete,"Aug 4, 2016","Mar 22, 2017",SR0495-000,"TEVA Canada Innovation"
Cinqair,reslizumab,"Asthma, eosinophilic","Reimburse with clinical criteria and/or conditions",Complete,"Oct 24, 2018","Mar 27, 2019",SF0591-000,"TEVA Canada Innovation"
Cipralex,"Escitalopram oxalate","Depression, Major Depressive Disorder (MDD)","Do not list",Complete,"Jun 8, 2006","Jan 24, 2007",SR0064-000,"Lundbeck Canada Inc."
Cipralex,"Escitalopram oxalate","Depression, Major Depressive Disorder (MDD)",,Withdrawn,"Aug 3, 2005",,SR0039-000,"Lundbeck Canada Inc."
Ciprodex,"Ciprofloxacin hydrochloride and dexamethasone otic suspension","Otitis media with otorrhea & otitis externa, acute","Do not list",Complete,"Jun 11, 2004","Jan 26, 2005",SR0014-000,"Alcon Canada Inc."
Ciprodex,"Ciprofloxacin hydrochloride & dexamethasone otic suspension","Otitis media with otorrhea & otitis externa, acute","List with clinical criteria and/or conditions",Complete,"Jun 15, 2007","Oct 18, 2007",SF0101-000,"Alcon Canada Inc."
Clolar,clofarabine,"Acute lymphoblastic leukemia","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0020-000,"Sanofi-aventis Canada Inc."
Columvi,glofitamab,"Relapsed or refractory diffuse large B-cell lymphoma",,Active,"Mar 7, 2025",,PC0406-000,"Hoffmann-La Roche Limited"
Columvi,glofitamab,"Relapsed or refractory diffuse large B-cell lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Jul 18, 2023","Feb 2, 2024",PC0320-000,"Hoffmann-La Roche Limited"
"Combigan Ophthalmic Solution","Brimonidine tartrate/timolol maleate",Glaucoma,"List with clinical criteria and/or conditions",Complete,"Dec 15, 2003","May 27, 2004",SR0001-000,"Allergan Canada Inc."
COMPLERA,"Emtricitabine/ rilpivirine/ tenofovir disoproxil fumarate","HIV infection",List,Complete,"Oct 19, 2011","Apr 19, 2012",SR0256-000,"Gilead Science Canada Ltd."
Constella,Linaclotide,"Irritable bowel syndrome with constipation","Do not list",Complete,"Dec 17, 2014","Sep 23, 2015",SR0409-000,"Actavis Specialty Pharmaceuticals Co."
Contrave,"naltrexone hydrochloride and bupropion hydrochloride","Chronic weight management in adults","Do not reimburse",Complete,"May 1, 2019","May 27, 2020",SR0610-000,"Bausch Health, Canada Inc."
Copaxone,"Glatiramer acetate","Clinically Isolated Syndrome (CIS), suggestive of Multiple Sclerosis","Do not list",Complete,"Apr 29, 2009","Nov 25, 2009",SR0164-000,"Teva Pharmaceutical Industries Ltd."
Cortiment,Budesonide,"Ulcerative Colitis","Do not reimburse",Complete,"May 24, 2016","Mar 22, 2017",SR0491-000,"Ferring Inc."
Corzyna,ranolazine,"Stable angina pectoris, adults","Do not reimburse",Complete,"Aug 17, 2020","May 27, 2021",SR0655-000,"KYE Pharmaceuticals Inc."
Cosentyx,Secukinumab,"ankylosing spondylitis","Reimburse with clinical criteria and/or conditions",Complete,"Feb 19, 2016","Aug 23, 2016",SR0475-000,"Novartis Pharmaceuticals Canada Inc."
Cosentyx,secukinumab,"Hidradenitis suppurativa","Reimburse with clinical criteria and/or conditions",Complete,"May 10, 2023","Sep 12, 2024",SR0781-000,"Novartis Pharmaceuticals Canada Inc."
Cosentyx,Secukinumab,"Arthritis, psoriatic","Reimburse with clinical criteria and/or conditions",Complete,"Feb 19, 2016","Aug 23, 2016",SR0476-000,"Novartis Pharmaceuticals Canada Inc."
Cosentyx,Secukinumab,"Plaque psoriasis","List with criteria/condition",Complete,"Dec 8, 2014","Oct 28, 2015",SR0407-000,"Novartis Pharmaceuticals Canada Inc."
Cresemba,isavuconazole,"Treatment of invasive aspergillosis and mucormycosis","Reimburse with clinical criteria and/or conditions",Complete,"Nov 2, 2018","May 15, 2019",SR0586-000,"AVIR Pharma Inc."
Crysvita,burosumab,"Treatment of X-Linked Hypophosphatemia","Reimburse with clinical criteria and/or conditions",Complete,"Jan 2, 2024","Oct 10, 2024",SR0818-000,"Kyowa Kirin Canada, Inc."
Crysvita,burosumab,"Treatment of X-Linked Hypophosphatemia","Reimburse with clinical criteria and/or conditions",Complete,"Jul 23, 2019","May 27, 2020",SR0602-000,"Kyowa Kirin Limited"
Cubicin,Daptomycin,"Skin and skin structure infections & bacteremia","Do not list",Complete,"Mar 6, 2008","Sep 24, 2008",SR0127-000,"Cubist Pharmaceuticals Inc."
Cuvposa,glycopyrrolate,"chronic severe drooling, neurologic (pediatric)","Do not reimburse",Complete,"May 31, 2019","Jun 24, 2020",SR0613-000,"MEDEXUS Pharmaceuticals, Inc."
Cymbalta,"Duloxetine hydrochloride","Depressive, Major Disorder (MDD)","Do not list",Complete,"Feb 8, 2008","Aug 14, 2008",SR0125-000,"Eli Lilly Canada Inc."
Cymbalta,"Duloxetine hydrochloride","Pain, Neuropathic, Diabetic","List with clinical criteria and/or conditions",Complete,"Feb 8, 2008","Aug 14, 2008",SR0126-000,"Eli Lilly Canada Inc."
Cystadrops,cysteamine,"Corneal cystine crystal deposits","Reimburse with clinical criteria and/or conditions",Complete,"Dec 10, 2018","Jun 18, 2019",SR0595-000,"Recordati Rare Diseases Canada Inc."
Daklinza,Daclatasvir,"Hepatitis C, Chronic","List with clinical criteria and/or conditions",Complete,"Feb 13, 2015","Sep 21, 2015",SR0417-000,"Bristol-Myers Squibb Canada Inc."
Daklinza,daclatasvir,"Hepatitis C, Chronic","Reimburse with clinical criteria and/or conditions",Complete,"Jan 6, 2016","May 19, 2016",SF0467-000,"Bristol Myers Squibb Canada Inc."
Darzalex,daratumumab,"Light chain (AL) amyloidosis","Reimburse with clinical criteria and/or conditions",Complete,"Jul 15, 2021","Jan 28, 2022",PC0257-000,"Janssen Inc."
Darzalex,daratumumab,"Multiple myeloma, eligible for autologous stem cell transplant","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0031-000,"Janssen Canada Inc."
"Darzalex SC",daratumumab,"Multiple myeloma, eligible for autologous stem cell transplant","Reimburse with clinical criteria and/or conditions",Active,"Oct 1, 2024","May 2, 2025",PC0388-000,"Janssen Inc."
Daxas,Roflumilast,"Chronic obstructive pulmonary disease","Do not list",Complete,"Nov 30, 2010","Jul 27, 2011",SR0218-000,"Nycomed Canada Inc."
Daybue,trofinetide,"Rett syndrome (RTT)",,Active,"Oct 29, 2024",,SR0829-000,"Acadia Pharmaceuticals Canada Inc."
Dayvigo,lemborexant,Insomnia,"Do not reimburse",Complete,"Feb 28, 2022","Jan 10, 2023",SR0716-000,"Eisai Limited"
Dayvigo,lemborexant,Insomnia,,Active,"Apr 10, 2025",,SR0895-000,"Eisai Limited"
Delstrigo,"doravirine lamuvidine tenofovir disoproxil fumarate","HIV-1 infection","Reimburse with clinical criteria and/or conditions",Complete,"Nov 16, 2018","May 14, 2019",SR0581-000,"Merck Canada Inc."
Demylocan,decitabine,"Myelodysplastic Syndromes","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0001-000,"Pharmascience Inc."
Denavir,Penciclovir,"Herpes labialis (cold sores)","Do not list",Complete,"Sep 20, 2006","Apr 26, 2007",SR0075-000,"Novartis Consumer Health Care Inc."
Descovy,"Emtricitabine /tenofovir alafenamide","HIV-1 infection","Reimburse with clinical criteria and/or conditions",Complete,"Jan 29, 2016","Aug 24, 2016",SR0470-000,"Gilead Sciences Canada, Inc."
Diacomit,Stiripentol,"Dravet Syndrome","List with criteria/condition",Complete,"Oct 30, 2013","Oct 16, 2014",SR0360-000,Biocodex
Dificid,fidaxomicin,"Clostridium difficile infection",N/A,Withdrawn,"Jan 29, 2024",,SF0847-000,"Merck Canada Inc."
Dificid,Fidaxomicin,"Clostridium difficile infection","Do not list at the submitted price",Complete,"Jul 10, 2012","Dec 19, 2012",SR0285-000,"Optimer Pharmaceuticals Canada, Inc."
Dojolvi,triheptanoin,"Long-chain fatty acid oxidation disorders","Reimburse with clinical criteria and/or conditions",Complete,"Mar 31, 2021","Jan 21, 2022",SR0684-000,"Ultragenyx Canada Inc"
Doptelet,avatrombopag,"Chronic immune thrombocytopenia (ITP)","Do not reimburse",Complete,"Feb 3, 2022","May 8, 2024",SR0721-000,"Sobi Canada, Inc."
Dovato,"dolutegravir / lamivudine","HIV-1 infection","Reimburse with clinical criteria and/or conditions",Complete,"Feb 21, 2019","Sep 30, 2019",SR0601-000,"ViiV Healthcare"
"Duaklir Genuair","Aclidinium bromide/formoterol fumarate dihydrate","Chronic obstructive pulmonary disease","List with clinical criteria and/or conditions",Complete,"Apr 1, 2015","Sep 18, 2015",SR0423-000,"AstraZeneca Canada Inc."
Duobrii,"Halobetasol propionate and tazarotene","Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"Jan 24, 2020","Oct 28, 2020",SR0638-000,"Bausch Health, Canada Inc."
Duodopa,"Levodopa / carbidopa (Drug Plan Submission)","Parkinson's disease","Reimburse with clinical criteria and/or conditions",Complete,"Feb 8, 2018","Aug 22, 2018",SR0557-000,"AbbVie Corporation"
Duodopa,"Levodopa / carbidopa","Parkinson's disease","Do not list",Complete,"Dec 19, 2008","Jul 22, 2009",SR0154-000,"Solvay Pharma Inc."
DuoTrav,"Travoprost and timolol maleate",Glaucoma,"List with clinical criteria and/or conditions",Complete,"Mar 24, 2006","Aug 24, 2006",SR0057-000,"Alcon Canada Inc."
Dupixent,dupilumab,"atopic dermatitis","Do not reimburse",Complete,"Oct 27, 2017","Jun 27, 2018",SR0533-000,Sanofi-Genzyme
Dupixent,dupilumab,"atopic dermatitis","Reimburse with clinical criteria and/or conditions",Complete,"Jul 15, 2022","Jan 18, 2023",SF0754-000,"Sanofi Genzyme, a division of sanofi-aventis Canada Inc."
Dupixent,Dupilumab,"Chronic  obstructive pulmonary disease (COPD)",,Active,"Dec 11, 2024",,SR0870-000,"sanofi-aventis Canada Inc."
Dupixent,dupilumab,Asthma,"Reimburse with clinical criteria and/or conditions",Complete,"Jun 28, 2022","Jan 20, 2023",SR0745-000,"Sanofi-aventis Canada Inc."
Dupixent,dupilumab,"Prurigo nodularis (PN)",,Active,"Dec 20, 2024",,SR0876-000,"sanofi-aventis Canada Inc."
Dupixent,dupilumab,Asthma,"Reimburse with clinical criteria and/or conditions",Complete,"Nov 26, 2020","Jun 8, 2021",SR0667-000,"Sanofi Genzyme, a division of sanofi-aventis Canada Inc."
Dupixent,dupilumab,"Atopic dermatitis, pediatrics","Reimburse with clinical criteria and/or conditions",Complete,"Mar 29, 2023","Oct 13, 2023",SR0774-000,"Sanofi-aventis Canada Inc."
Dupixent,dupilumab,"Chronic rhinosinusitis with nasal polyps",,Active,"Dec 18, 2024",,SR0878-000,"sanofi-aventis Canada Inc."
Dupixent,dupilumab,"atopic dermatitis","Reimburse with clinical criteria and/or conditions",Complete,"Oct 22, 2019","Apr 22, 2020",SR0636-000,"Sanofi Genzyme, a division of sanofi-aventis Canada Inc."
Dymista,"Azelastine  HCl and fluticasone propionate","Seasonal allergic rhinitis","Do not list",Complete,"Dec 9, 2014","Jun 17, 2015",SR0408-000,"Meda Pharmaceuticals Ltd."
"Dysport Therapeutic",abobotulinumtoxinA,"Cervical dystonia","Reimburse with clinical criteria and/or conditions",Complete,"Jan 31, 2017","Jul 26, 2017",SR0512-000,"IPSEN Biopharmaceuticals Canada, Inc."
"Dysport Therapeutic",abobotulinumtoxinA,"lower limb spasticity","Reimburse with clinical criteria and/or conditions",Complete,"Feb 7, 2018","Aug 23, 2018",SR0556-000,"Ipsen Biopharmaceuticals Canada Inc."
"Dysport Therapeutic",abobotulinumtoxinA,"Upper limb spasticity","Reimburse with clinical criteria and/or conditions",Complete,"Apr 24, 2017","Oct 24, 2017",SR0517-000,"IPSEN Biopharmaceuticals Canada, Inc."
Ebglyss,lebrikizumab,"atopic dermatitis","Do not reimburse",Complete,"Nov 1, 2023","Oct 9, 2024",SR0819-000,"Eli Lilly Canada, Inc."
Ebixa,"Memantine hydrochloride","Dementia (Alzheimer type), moderate to severe","Do not list",Complete,"Dec 21, 2004","Nov 23, 2005",SR0025-000,"Lundbeck Canada Inc."
Edarbi,"Azilsartan medoxomil",Hypertension,"Do not list at the submitted price",Complete,"Mar 8, 2013","Oct 17, 2013",SR0317-000,"Takeda Canada Inc."
Edarbyclor,"Azilsartan medoxomil + chlorthalidone",Hypertension,"Do not list",Complete,"Mar 8, 2013","Oct 17, 2013",SR0318-000,"Takeda Canada Inc."
Edurant,Rilpivirine,"HIV infection",List,Complete,"Jul 29, 2011","Feb 15, 2012",SR0243-000,"Janssen Inc."
Effient,Prasugrel,"Acute coronary syndrome","Do not list",Complete,"Dec 12, 2011","Jun 14, 2012",SR0263-000,"Eli Lily Canada Inc."
Effient,"Prasugrel hydrochloride","Acute Coronary Syndrome","Do not list",Complete,"May 5, 2010","Feb 16, 2011",SR0200-000,"Eli Lilly Canada Inc."
Egrifta,Tesamorelin,"Lipodystrophy, HIV-infected patients","Do not reimburse",Complete,"Mar 2, 2016","Aug 24, 2016",SR0477-000,"Theratechnologies Inc."
Elaprase,Idursulfase,"Mucopolysarccharidosis II (MPS II), Hunter Syndrome","Do not list",Complete,"Jul 13, 2007","Dec 19, 2007",SR0104-000,"Shire Human Genetic Therapies, Inc."
Elelyso,"Taliglucerase alfa","Gaucher disease","Do not list",Complete,"Aug 15, 2014","Oct 28, 2015",SR0390-000,"Pfizer Canada Inc."
Eliquis,Apixaban,"Venous thromboembolic events, prevention","List with clinical criteria and/or conditions",Complete,"Dec 20, 2011","Jun 14, 2012",SR0264-000,"Bristol-Myers Squibb and Pfizer Canada Alliance"
Eliquis,Apixaban,"Venous thromboembolic events, treatment and prevention of recurrence","List with clinical criteria and/or conditions",Complete,"Sep 18, 2014","May 7, 2015",SR0397-000,"Bristol-Myers Squibb Canada and Pfizer Canada Inc. Alliance"
Eliquis,Apixaban,"Thromboembolic events prevention, (atrial fibrillation)","List with clinical criteria and/or conditions",Complete,"Sep 25, 2012","Mar 20, 2013",SR0288-000,"Bristol-Myers Squibb Canada and Pfizer Canada Inc. Alliance"
Elrexfio,elranatamab,"Relapsed or refractory multiple myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Nov 9, 2023","May 31, 2024",PC0315-000,"Pfizer Canada ULC"
Emend,Aprepitant,"Nausea and Vomiting, Chemotherapy induced","List with clinical criteria and/or conditions",Complete,"Aug 29, 2007","Feb 20, 2008",SR0109-000,"Merck Frosst Canada Ltd."
Emgality,galcanezumab,"Episodic cluster headache","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0019-000,"Eli Lilly Canada Inc."
