Title,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
pembrolizumab and lenvatinib,Keytruda and Lenvima,pembrolizumab and lenvatinib,https://www.cadth.ca/sites/default/files/DRR/2022/PC0288%20Keytruda%20and%20Lenvima%20-%20Final%20CADTH%20Recommendation.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0288%20Keytruda%20and%20Lenvima%20-%20Stakeholder%20Feedback%20Sep%201%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0288-Keytruda-Lenvima.pdf,Advanced endometrial cancer,Reimburse with clinical criteria and/or conditions,Complete,"Mar 7, 2022","Sep 9, 2022",PC0288-000
renal cell carcinoma rcc,N/A,N/A,https://www.cadth.ca/sites/default/files/pdf/PH0013%20RCC_final.pdf,Renal Cell Carcinoma (RCC),N/A,Complete,N/A,"Sep 6, 2022",PH0013-000
atezolizumab,Tecentriq,atezolizumab,https://www.cadth.ca/sites/default/files/DRR/2022/PC0277%20Tecentriq%20SCLC%20-%20Final%20CADTH%20Recommendation%20(With%20Redactions)%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0277%20Tecentriq%20SCLC%20-%20Stakeholder%20Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0277-Tecentriq-SCLC_combined.pdf,Small Cell Lung Cancer,Reimburse with clinical criteria and/or conditions,Complete,"Jan 24, 2022","Sep 1, 2022",PC0277-000
atezolizumab,Tecentriq,atezolizumab,https://cadth.ca/sites/default/files/DRR/2022/PC0269%20Tecentriq%20NSCLC%20-%20Stakeholder%20Feedback.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0269-Tecentriq%20NSCLC_combined.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0269%20Tecentriq%20for%20NSCLC%20-%20CADTH%20Final%20Recommendation-Final-meta.pdf,Non-small cell lung cancer,Reimburse with clinical criteria and/or conditions,Complete,"Feb 24, 2022","Sep 1, 2022",PC0269-000
pembrolizumab,Keytruda,pembrolizumab,https://www.cadth.ca/sites/default/files/DRR/2022/PC0279%20Keytruda%20TNBC%20-%20Final%20CADTH%20Recommendation%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0279%20Keytruda%20TNBC%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20August%2031%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0279-Keytruda%20TNBC.pdf,Triple-negative breast cancer,Reimburse with clinical criteria and/or conditions,Complete,"Feb 17, 2022","Aug 31, 2022",PC0279-000
tepotinib,Tepmetko,tepotinib,https://cadth.ca/sites/default/files/DRR/2022/PC0255%20Tepmetko%20-%20CADTH%20Final%20Recommendation%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0255%20Tepmetko%20-%20Stakeholder%20Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0255-Tepmetko_combined.pdf,Locally advanced or metastatic non-small cell lung cancer,Do not reimburse,Complete,"Aug 30, 2021","Aug 24, 2022",PC0255-000
dostarlimab,Jemperli,dostarlimab,https://www.cadth.ca/sites/default/files/DRR/2022/Jemperli%20-%20Stakeholder%20Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0263%20Jemperli%20-%20CADTH%20Final%20Recommendation_JH_SC-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0263-Jemperli-combined.pdf,Endometrial cancer,Do not reimburse,Complete,"Oct 7, 2021","Aug 24, 2022",PC0263-000
abrocitinib,Cibinqo,abrocitinib,https://cadth.ca/sites/default/files/DRR/2022/SR0686%20Cibingo%20-%20Stakeholder%20Feedback%20August%2019%2C%202022%20for%20posting.pdf; https://cadth.ca/sites/default/files/DRR/2023/SR0686-Cibinqo.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0686REC-Cibinqo_Final.pdf,"Atopic dermatitis, moderate to severe",Reimburse with clinical criteria and/or conditions,Complete,"Apr 26, 2021","Aug 19, 2022",SR0686-000
faricimab,Vabysmo,faricimab,https://www.cadth.ca/sites/default/files/DRR/2022/SR0719-Vabysmo-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0719-Vabysmo_combined.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0719REC-Vabysmo.pdf,"Macular degeneration, age-related",Reimburse with clinical criteria and/or conditions,Complete,"Jan 31, 2022","Aug 12, 2022",SR0719-000
mogamulizumab,Poteligeo,mogamulizumab,https://www.cadth.ca/sites/default/files/DRR/2022/PC0244%20Poteligeo%20-%20Stakeholder%20Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0244-Poteligeo_combined.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0244REC-Poteligeo.pdf,"mycosis fungoides (MF), Sézary syndrome (SS)",Reimburse with clinical criteria and/or conditions,Complete,"Sep 13, 2021","Aug 12, 2022",PC0244-000
nusinersen,Spinraza,nusinersen,https://www.cadth.ca/sites/default/files/DRR/2022/SR0713-Spinraza-Reassessment-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0713-Spinraza-Reassessment-combined-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0713-Spinraza-Reassessment.pdf,Spinal Muscular Atrophy,Do not reimburse,Complete,"Dec 2, 2021","Aug 11, 2022",SR0713-000
asciminib,Scemblix,asciminib,https://www.cadth.ca/sites/default/files/DRR/2022/PC0275%20Scemblix%20-%20CADTH%20Final%20Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0275%20Scemblix%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20August%205%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0275-Scemblix.pdf,Philadelphia chromosome-positive chronic myeloid leukemia,Reimburse with clinical criteria and/or conditions,Complete,"Jan 20, 2022","Aug 5, 2022",PC0275-000
nsclc without actionable oncogenic alterations,N/A,N/A,https://cadth.ca/sites/default//files/pdf/PH0012-NSCLC-Rapid%20Algorithm-for-CAPCA-Review.pdf,Unmutated Non-small cell lung cancer,N/A,Complete,N/A,"Aug 5, 2022",PH0012-000
selinexor,Xpovio,selinexor,https://www.cadth.ca/sites/default/files/DRR/2022/PC0276%20Xpovio%20-%20Final%20CADTH%20Recommendation_KT_KAS_KT_GP-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0276-Xpovio-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0276-Xpovio.pdf,Multiple myeloma,Reimburse with clinical criteria and/or conditions,Complete,"Jan 14, 2022","Jul 29, 2022",PC0276-000
zanubrutinib,Brukinsa,zanubrutinib,https://www.cadth.ca/sites/default/files/DRR/2022/PC0267%20Brukinsa%20MCL%20-%20Final%20CADTH%20Recommendation%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0267-Brukinsa-MCL-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0267-Brukinsa.pdf,Mantle cell lymphoma (MCL),Do not reimburse,Complete,"Sep 30, 2021","Jul 27, 2022",PC0267-000
sodium phenylbutyrate and ursodoxicoltaurine,Albrioza,sodium phenylbutyrate and ursodoxicoltaurine,https://www.cadth.ca/sites/default/files/DRR/2022/SR0711-Albrioza-Stakeholder-Feedback-July21-2022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0711-Albrioza.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0711REC-Albrioza.pdf,Amyotrophic lateral sclerosis (ALS),Reimburse with clinical criteria and/or conditions,Complete,"Nov 24, 2021","Jul 21, 2022",SR0711-000
ruxolitinib,Jakavi,ruxolitinib,https://cadth.ca/sites/default/files/DRR/2022/SR0706REC-Jakavi-(Chronic).pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0706-Jakavi-(chronic)-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0706-Jakavi-Report.pdf,Graft versus host disease,Reimburse with clinical criteria and/or conditions,Complete,"Aug 10, 2021","Jul 15, 2022",SR0706-000
avalglucosidase alfa,Nexviazyme,avalglucosidase alfa,https://cadth.ca/sites/default/files/DRR/2022/SR0703%20Nexviazyme%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0703%20Nexviazyme%20combined.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0703%20Nexviazyme%20-%20CADTH%20Final%20Rec-meta.pdf,Pompe disease,Reimburse with clinical criteria and/or conditions,Complete,"Sep 30, 2021","Jul 5, 2022",SR0703-000
lisocabtagene maraleucel,Breyanzi,lisocabtagene maraleucel,https://www.cadth.ca/sites/default/files/DRR/2022/PG0258%20Breyanzi%20-%20Final%20CADTH%20Rec-Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PG0258-Breyanzi-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PG0258-Breyanzi.pdf,Relapsed or refractory large B-cell lymphoma,Reimburse with clinical criteria and/or conditions,Complete,"Aug 9, 2021","Jun 29, 2022",PG0258-000
selpercatinib,Retevmo,selpercatinib,https://cadth.ca/sites/default/files/DRR/2022/PC0274%20Retevmo%20DTC%20-%20CADTH%20Final.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0274%20Retevmo%20DTC%20-%20Consolidated%20Feedback%20June%2029%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0274-Retevmo%20DTC.pdf,Thyroid cancer,Reimburse with clinical criteria and/or conditions,Complete,"Oct 29, 2021","Jun 29, 2022",PC0274-000
lenvatinib and pembrolizumab,Lenvima and Keytruda,lenvatinib and pembrolizumab,https://cadth.ca/sites/default/files/DRR/2022/PC0268%20Lenvima%20and%20Keytruda%20-%20Final%20CADTH%20Rec_KT-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0268-Lenvima-Keytruda-Stakeholder-Feedback-on-Draft-Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0268-Lenvima-Keytruda.pdf,advanced or metastatic renal cell carcinoma,Reimburse with clinical criteria and/or conditions,Complete,"Nov 15, 2021","Jun 23, 2022",PC0268-000
cenegermin,Oxervate,cenegermin,https://cadth.ca/sites/default/files/DRR/2022/SR0704%20Oxervate%20-%20CADTH%20Final%20Rec-meta.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0704%20Oxervate%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20June%2023%2C%202022.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0704-Oxervate%20combined.pdf,Neurotrophic keratitis,Reimburse with clinical criteria and/or conditions,Complete,"Oct 29, 2021","Jun 23, 2022",SR0704-000
human epidermal growth factor receptor 2 her2 negative gastric gastroesophageal junction gej or,N/A,N/A,https://www.cadth.ca/sites/default/files/pdf/PH0010-EC%20GEJC%20GC-Final-Report.pdf,Esophageal or Gastroesophageal Junction Cancer,N/A,Complete,N/A,"Jun 21, 2022",PH0010-000
tafamidis,Vyndaqel,tafamidis,https://www.cadth.ca/sites/default/files/DRR/2022/SF0722%20Vyndaqel%20RfA%20-%20Final%20CADTH%20Rec-revised.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SF0722-Vyndaqel-RfA-Stakeholders-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SF0722CL-Vyndaqel.pdf,Transthyretin-mediated amyloidosis,Reimburse with clinical criteria and/or conditions,Complete,"Dec 14, 2021","Jun 17, 2022",SF0722-000
elexacaftortezacaftorivacaftor and ivacaftor,Trikafta,elexacaftor/tezacaftor/ivacaftor and ivacaftor,https://www.cadth.ca/sites/default/files/DRR/2022/SR0710%20Trikafta%20-%20CADTH%20Final%20Rec-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0710-Trikafta-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0710-Trikafta_combined.pdf,"Cystic fibrosis, F508del CFTR mutation, 6 years and older",Reimburse with clinical criteria and/or conditions,Complete,"Nov 5, 2021","Jun 17, 2022",SR0710-000
amifampridine phosphate,Firdapse,amifampridine phosphate,https://www.cadth.ca/sites/default/files/DRR/2022/SR0664%20Firdapse%20-%20Final%20CADTH%20Recommendation%20(With%20Redactions)%20KH_LdL-Clean-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0664-Firdapse-Stakeholder-Feedback-Draft-Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0664-Firdapse.pdf,"Lambert-Eaton Myasthenic Syndrome, adults",Reimburse with clinical criteria and/or conditions,Complete,"Nov 15, 2021","Jun 16, 2022",SR0664-000
immune globulin human and recombinant human hyaluronidase,HyQvia,immune globulin human and recombinant human hyaluronidase,https://cadth.ca/sites/default/files/DRR/2022/ST0695%20immune%20globulin%20human%20and%20recombinant%20human%20hyaluronidase%20-%20Patient%20Group%20Input%20_Redacted.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/ST0695%20HyQvia%20-%20Final%20CADTH%20Recommendation%20July%204_KT_BF_KT_KT-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/ST0695-HyQvia-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/ST0695-HyQvia-meta.pdf,Humoral immunodeficiency,Reimburse with clinical criteria and/or conditions,Complete,"Jun 24, 2021","Jun 15, 2022",ST0695-000
upadacitinib,Rinvoq,upadacitinib,https://www.cadth.ca/sites/default/files/DRR/2022/SR0685-Rinvoq-AD-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0685-Rinvoq-AD.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0685REC-Rinvoq%20AD-KH_BF-KH-meta.pdf,atopic dermatitis,Reimburse with clinical criteria and/or conditions,Complete,"Apr 13, 2021","Jun 8, 2022",SR0685-000
cemiplimab,Libtayo,cemiplimab,https://cadth.ca/sites/default/files/DRR/2022/PC0262%20Libtayo%20NSCLC%20%20%E2%80%93%20CADTH%20Final%20Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0262%20Libtayo%20NSCLC%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20May%2019%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0262-Libtayo-combined.pdf,Non-small cell lung cancer,Reimburse with clinical criteria and/or conditions,Complete,"Oct 13, 2021","Jun 2, 2022",PC0262-000
multiple myeloma,N/A,N/A,https://www.cadth.ca/sites/default/files/pdf/PH0011-MM-Implementation-Advice-Report.pdf,Multiple myeloma,N/A,Complete,N/A,"May 25, 2022",PH0011-000
anaplastic lymphoma kinase positive non small cell lung cancer,N/A,N/A,https://www.cadth.ca/sites/default/files/pdf/PH0009-ALK%2BNSCLC-Algorithm.pdf,ALK-positive Locally Advanced or Metastatic Non-small Cell Lung Cancer,N/A,Complete,N/A,"May 24, 2022",PH0009-000
ospemifene,Osphena,ospemifene,https://cadth.ca/sites/default/files/DRR/2022/SR0709%20Osphena%20-%20Final%20CADTH%20Rec%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0709-Osphena-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0709-Osphena-meta.pdf,"Dyspareunia, vaginal dryness",Reimburse with clinical criteria and/or conditions,Complete,"Oct 26, 2021","May 13, 2022",SR0709-000
selpercatinib,Retevmo,selpercatinib,https://cadth.ca/sites/default/files/DRR/2022/PC0261%20Retevmo%20-%20CADTH%20Final%20Rec-meta.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0261-Retevmo-Stakeholder-Feedback.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0261-Retevmo_combined.pdf,RET fusion-positive non-small cell lung cancer,Reimburse with clinical criteria and/or conditions,Complete,"Aug 17, 2021","Apr 28, 2022",PC0261-000
ripretinib,Qinlock,ripretinib,https://cadth.ca/sites/default/files/DRR/2022/PC0265%20Qinlock%20-%20Confidential%20Final%20CADTH%20Rec-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0265-Qinlock-Stakeholder-Feedback-Draft-Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0265-Qinlock.pdf,Gastrointestinal stromal tumours,Reimburse with clinical criteria and/or conditions,Complete,"Oct 15, 2021","Apr 28, 2022",PC0265-000
prasterone,Intrarosa,prasterone,https://www.cadth.ca/sites/default/files/DRR/2022/SR0707%20Intrarosa%20-%20CADTH%20Final%20Rec-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0707-Intrarosa-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0707-Intrarosa.pdf,Postmenopausal vulvovaginal atrophy,Reimburse with clinical criteria and/or conditions,Complete,"Oct 1, 2021","Apr 14, 2022",SR0707-000
alpha1 proteinase inhibitor human,Zemaira,Alpha1-proteinase inhibitor (Human),https://cadth.ca/sites/default/files/DRR/2022/ST0702-Zemaira-Stakeholder-Feedback.pdf; https://cadth.ca/sites/default/files/DRR/2022/ST0702-ZemairaCombined.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/ST0702%20Zemaira%20-%20CADTH%20Final%20Rec%20Final.pdf,Severe Alpha1-proteinase inhibitor deficiency,Reimburse with clinical criteria and/or conditions,Complete,"Oct 1, 2021","Apr 13, 2022",ST0702-000
her2 positive metastatic breast cancer,N/A,N/A,https://cadth.ca/sites/default/files/pdf/PH0006-HER2MBC-Algorithm%20Panel%20Scope.pdf,HER2-Positive Metastatic Breast Cancer,N/A,Complete,N/A,"Apr 12, 2022",PH0006-000
fostamatinib,Tavalisse,fostamatinib,https://cadth.ca/sites/default/files/DRR/2022/SR0701%20Tavalisse%20-%20Stakeholder%20Feedback%20January%2027%2C%202022.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0701-Tavalisse-combined.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0701%20Tavalisse%20-%20Patient%20Group%20Input_Redacted.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0701%20Tavalisse%20-%20CADTH%20Final%20Rec-meta.pdf,Chronic immune thrombocytopenia,Do not reimburse,Complete,"Jul 22, 2021","Apr 5, 2022",SR0701-000
bimekizumab,Bimzelx,bimekizumab,https://www.cadth.ca/sites/default/files/DRR/2022/SR0698%20Bimzelx%20-%20CADTH%20Final%20Rec%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0698-Bimzelx-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0698-Bimzelx.pdf; https://www.cadth.ca/sites/default/files/DRR/2023/TSDrugClas/TS0001/TS0001-PsO-Updated-Streamlined-Rec.pdf,"Psoriasis, moderate to severe plaque",Reimburse with clinical criteria and/or conditions,Complete,"Aug 17, 2021","Mar 30, 2022",SR0698-000
metastatic urothelial carcinoma muc,N/A,N/A,https://cadth.ca/sites/default/files/pdf/PH0008%20mUC%20Algorithm%20Report-Final.pdf,Metastatic Urothelial Carcinoma,N/A,Complete,N/A,"Mar 28, 2022",PH0008-000
pemigatinib,Pemazyre,pemigatinib,https://cadth.ca/sites/default/files/DRR/2022/PC0252%20Pemazyre%20-%20CADTH%20Final%20Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0252%20pemigatinib%20-%20Patient%20Group%20Input_Redacted.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0252-Pemazyre-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0252-Pemazyre.pdf,Cholangiocarcinoma,Do not reimburse,Complete,"Jun 23, 2021","Mar 23, 2022",PC0252-000
lorlatinib,Lorbrena,lorlatinib,https://cadth.ca/sites/default/files/DRR/2022/PC0249%20Lorbrena%20-%20CADTH%20Final%20Rec.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0249-Lorbrena-Stakeholder-Feedback.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0249-Lorbrena.pdf; https://www.cadth.ca/sites/default/files/pcodr/CRR_PCproject_Patient%20Group%20Input/2021/PC0249%20Lorbrena%20-%20Patient%20Group%20Input_For%20Posting.pdf,ALK-positive locally advanced or metastatic non-small cell lung,Reimburse with clinical criteria and/or conditions,Complete,"Jun 18, 2021","Mar 17, 2022",PC0249-000
colchicine,Myinfla,colchicine,https://www.cadth.ca/sites/default/files/DRR/2022/SR0691%20Myinfla%20-%20CADTH%20Final%20Rec-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0691%20Myinfla%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20-%20For%20posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0691-Myinfla-meta.pdf,Atherothrombotic events in coronary artery disease,Do not reimburse,Complete,"May 28, 2021","Mar 8, 2022",SR0691-000
somatrogon,Ngenla,somatrogon,https://cadth.ca/sites/default/files/DRR/2022/SR0683-Ngenla-CombinedReport.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0683-Ngenla-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0683%20Ngenla%20-%20CADTH%20Final%20Rec.pdf,Growth hormone deficiency,Reimburse with clinical criteria and/or conditions,Complete,"Jun 3, 2021","Mar 8, 2022",SR0683-000
tralokinumab,Adtralza,tralokinumab,https://www.cadth.ca/sites/default/files/DRR/2022/SR0689%20Adtralza%20-%20Confidential%20Final%20CADTH%20Rec-Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0689%20Adtralza%20-%20Stakeholder%20Feedback%20March%207%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0689%20tralokinumab%20(TBC)%20-%20Clinician%20Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0689-Adtralza_combined.pdf,atopic dermatitis,Do not reimburse,Complete,"Apr 27, 2021","Mar 7, 2022",SR0689-000
nivolumab,Opdivo,nivolumab,https://cadth.ca/sites/default/files/DRR/2022/PC0259-Opdivo-Stakeholder-Feedback-Draft-Rec.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0259-Opdivo-combinedReport.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0259%20Opdivo%20-%20Final%20CADTH%20Rec.pdf,"Gastric, gastroesophageal junction, or esophageal adenocarcinoma",Reimburse with clinical criteria and/or conditions,Complete,"Aug 18, 2021","Mar 4, 2022",PC0259-000
cemiplimab,Libtayo,cemiplimab,https://cadth.ca/sites/default/files/DRR/2022/PC0260REC-Libtayo_Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0260-Libtayo-Report.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0260-Libtayo-Stakeholder-Feedback.pdf,Basal cell carcinoma,Reimburse with clinical criteria and/or conditions,Complete,"Aug 19, 2021","Mar 4, 2022",PC0260-000
ravulizumab,Ultomiris,ravulizumab,https://cadth.ca/sites/default/files/DRR/2021/SR0700%20Ultomiris%20-%20Patient%20Group%20Input.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0700%20Ultomiris-Stakeholder-Feedback-on-Draft-Recommendation.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0700CL-Ultomiri_combined.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0700%20Ultomiris%20-%20Final%20CADTH%20Rec.pdf,Paroxysmal nocturnal hemoglobinuria,Reimburse with clinical criteria and/or conditions,Complete,"Jul 22, 2021","Feb 11, 2022",SR0700-000
estradiol and progesterone,Bijuva,estradiol and progesterone,https://www.cadth.ca/sites/default/files/DRR/2022/SR0697%20Bijuva%20-%20CADTH%20Final%20Rec-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0697-Bijuva-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0697-BijuvaCombined.pdf,Vasomotor symptoms associated with menopause,Reimburse with clinical criteria and/or conditions,Complete,"Jun 30, 2021","Feb 10, 2022",SR0697-000
trientine hydrochloride,Waymade-Trientine,trientine hydrochloride,https://cadth.ca/sites/default/files/DRR/2022/SR0696%20Waymade-Trientine%20-%20CADTH%20Final%20Rec-meta.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0696%20Waymade-Trientine%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20February%208%2C%202022.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0696-Waymade-Trientine-combinedReport.pdf; https://www.cadth.ca/sites/default/files/attachments/2021-07/SR0696%20Waymade-Trientine%20Patient%20Input%20for%20posting.pdf,Wilson's Disease,Reimburse with clinical criteria and/or conditions,Complete,"Jul 21, 2021","Feb 8, 2022",SR0696-000
inclisiran,Leqvio,inclisiran,https://cadth.ca/sites/default/files/cdr/relatedinfo/SR0681%20inclisiran%20-%20Patient%20Input%20for%20Posting%20April%2022%2C%202021.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0681%20Leqvio%20-%20Confidential%20Final%20CADTH%20Rec%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0681%20Leqvio%20-%20Consolidated%20Clinician%20Input%20for%20Posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0681%20Leqvio%20-%20Stakeholder%20Feedback%20Februray%207%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0681-Leqvio.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0681-Response-to-Procedural-Review-Panel-Report.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0681_Memorandum%2C%20Panel%20Report%20%E2%80%93%20Inclisiran_Leqvio%E2%84%A2%20-%20Procedural%20Review.pdf,Primary hypercholesterolemia,Do not reimburse,Complete,"Mar 17, 2021","Feb 7, 2022",SR0681-000
adult classical hodgkin lymphoma,N/A,N/A,https://www.cadth.ca/sites/default/files/pdf/PH0007-cHL-Algorithm-Report-Final.pdf,Adult Classical Hodgkin Lymphoma,N/A,Complete,N/A,"Feb 2, 2022",PH0007-000
isatuximab,Sarclisa,isatuximab,https://cadth.ca/sites/default/files/DRR/2022/PC0256%20Sarclisa%20-%20CADTH%20Final%20Rec%20revised.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0256-Sarclisa-CombinedReport.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0256-Sarclisa-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/pcodr/CRR_PCproject_Patient%20Group%20Input/2021/PC0256%20Sarclisa%20-%20Patient%20Group%20Input_Redacted.pdf,Multiple myeloma,Reimburse with clinical criteria and/or conditions,Complete,"Jul 15, 2021","Jan 28, 2022",PC0256-000
daratumumab,Darzalex,daratumumab,https://cadth.ca/sites/default/files/DRR/2022/PC0257%20Darzalex%20-%20Consolidated%20Clinician%20Group%20Input%20for%20Posting.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0257-Darzalex-Stakeholder%20Feedback%20January%2028%2C%202022.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0257-Darzalex-combinedReport.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0257 Darzalex - Consolidated Patient Input for Posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0257%20Darzalex%20-%20CADTH%20Final%20Rec%20Final.pdf,Light chain (AL) amyloidosis,Reimburse with clinical criteria and/or conditions,Complete,"Jul 15, 2021","Jan 28, 2022",PC0257-000
